"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"102";2;5;7;9;10;12;12;12;12;20;20;20;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;72;72;72;72;72;72;72;72;72;72;72;72;72;72
"103";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56;56;56;84;84;84;84;84;84;84;84
"104";2;5;7;8;8;8;8;8;18;18;18;24;24;28;28;28;28;28;28;28;28;28;47;47;47;47;47;47;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59
"105";2;5;7;9;10;12;12;12;12;20;20;20;27;27;27;27;27;27;27;27;42;42;42;42;42;42;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54
"106";2;5;7;9;10;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;66;66;66;66;66;66;66;80;80;80;80;80;80;80;80;80;80
"107";2;5;7;9;10;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64
"108";2;5;7;9;10;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;96;96
"109";2;5;6;6;6;6;15;15;15;15;15;15;15;15;15;15;35;35;35;35;35;35;35;49;49;49;49;49;49;61;61;61;61;61;61;61;61;61;61;61;82;82;82;82;82;82;82;82;82
"110";2;5;7;9;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
"111";2;5;7;9;10;13;13;16;16;16;16;16;16;16;30;30;30;30;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;75;75;75;75;75;75;75;88;88;88;88;88;88
"112";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56;56;56;84;84;84;84;84;84;84;84
"113";2;5;7;8;8;8;8;8;18;18;18;24;24;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
"114";2;5;7;9;10;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;96;96
"115";2;5;7;8;8;8;8;8;18;18;18;24;24;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
"116";2;5;7;8;8;8;8;8;18;18;18;24;24;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
"117";2;5;7;9;10;13;13;16;16;16;16;16;16;16;30;30;30;30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;71;71;71;71;71;71;71;71;71;71;90;90;90;90;90
