aucunes;3;0;0;1;0;0;0;0;1;1;0;0;3
900;1;0;0;0;0;0;5;0;1;0;2;0;0
53;0;0;0;1;0;0;5;0;0;0;0;1;1
43;1;0;1;0;0;1;2;1;0;0;0;2;1
38;1;0;0;0;0;0;2;0;0;0;0;4;1
2001;4;0;0;0;1;0;0;0;1;3;0;0;0
1920;6;0;0;0;0;1;0;0;0;0;0;2;0
130;1;0;0;1;0;0;2;0;0;0;1;3;0
sienne;2;0;0;0;0;0;0;0;0;2;0;0;3
pa;1;1;0;0;1;0;0;1;1;0;0;1;2
mouais;0;0;0;1;0;0;1;0;0;0;1;1;3
hé;1;0;0;0;0;0;1;0;0;0;0;3;3
hip;0;0;0;0;0;0;0;0;1;1;0;0;2
clic;3;0;0;0;0;0;1;0;1;1;0;0;1
basta;2;0;0;0;0;0;0;0;1;0;1;0;4
autrefois;2;0;0;0;1;0;0;0;1;0;1;1;2
aucuns;0;0;0;1;0;0;0;0;0;1;1;4;1
92;2;1;0;0;1;2;0;0;0;0;0;1;1
77;6;0;0;0;0;0;0;0;1;0;0;1;0
71;1;1;0;0;0;1;0;0;2;1;0;0;2
47;5;0;0;0;0;0;0;0;1;0;1;1;0
2019;1;0;1;0;1;0;1;1;0;0;0;1;0
1993;5;0;0;0;0;0;0;0;1;1;0;0;0
