"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"franchement";-13,078;-4,034;35,635;0,084;7,887;-1,985;-9,494
"chiffre";-12,37;-9,084;-13,995;-1,399;-1,42;0,196;80,177
"accepter";0,021;-8,979;-10,668;7,354;-0,87;-5,139;20,168
"uniquement";-0,109;-7,404;-13,336;1,941;-0,084;0,128;16,162
"fédéral";11,267;-6,99;-8,027;-0,148;-2,599;-3,278;9,766
"démocratie";56,016;-5,151;-10,38;-1,284;2,962;-3,221;-10,803
"toucher";-13,995;-7,145;-8,426;-0,002;-12,912;0,775;101,335
"moyenne";-32,578;-6,526;-23,447;-2,078;-56,161;-0,11;331,305
"financer";4,964;-7,145;-19,41;-5,504;-31,519;-0,227;94,634
"emji_visage_avec_bouche_ouverte";-0,908;1,237;306,473;-4,212;-46,124;-0,334;-31,165
"haut";-14,589;-0,723;0,002;-0,126;-0,025;2,012;11,63
"rappeler";4,782;-5,448;-14,305;-1,457;5,832;-3,393;1,094
"humanité";22,207;5,152;-15,493;-2,422;1,112;-3,307;-2,882
"emji_visage_boudeur";6,82;1,219;78,101;-2,859;-30,859;-0,468;-9,85
"faute";-2,174;-4,953;-7,241;-0,474;29,098;-0,694;-0,125
"courage";-4,251;709,155;-10,668;-2,387;-6,924;-1,834;-22,356
"tête";-9,559;-1,555;28,606;-0,616;3;-1,859;-3,489
"marcher";-0,793;-7,042;2,815;-1,37;29,794;-0,825;-15,293
"maison";-1,353;-3,621;56,319;0,003;-24,094;-0,75;1,511
"lausanne";-11,668;-0,02;105,727;-7,237;-44,234;85,047;-0,506
"chance";-15,221;0,094;-0,807;-0,455;-2,182;-0,127;33,577
"route";-18,586;-4,904;-14,228;-3,46;-37,935;2449,761;-14,376
"udc";-17,374;-0,024;-7,578;-1,647;142,775;-4,479;-23,624
"dur";-3,87;0,527;-0,019;-2,044;-2,303;-2,991;17,936
"contraire";0,617;-5,2;-18,748;3,839;29,33;-3,249;-3,182
"voler";9,672;-6,577;-1,189;-2,112;-2,052;-1,635;4,058
"soutien";278,406;-3,712;-22,699;0,166;-24,76;-5,109;-14,733
"souhaiter";-5,806;3,213;-10,793;-0,418;16,167;-4,869;0,709
"plaindre";-11,147;-6,732;1,539;4,188;26,597;-0,713;-7,034
"image";7,436;-6,784;-6,349;-3,577;25,943;-3,163;-7,248
"valeur";-0,013;-5,052;-11,533;-0,513;9,187;-5,019;3,887
"truc";-11,147;-6,732;-1,95;1,59;19,96;-1,709;0,409
"fonctionner";-18,387;-8,56;-8,204;-3,421;-4,529;-4,899;123,325
"but";3,847;-4,757;-5,619;-0,4;0,574;-1,586;1,55
"nom";22,062;-0,078;-0,185;1,124;-0,875;-2,849;-5,848
"main";-0,077;4,858;-3,601;-1,036;-1,258;2,497;2,724
"différence";-5,393;-6,371;-7,665;14,511;-5,328;0,426;33,355
"offrir";-14,739;-1,807;-5,726;-3,035;-19,202;-2,763;134,512
"minimum";-11,305;-5,959;-15,629;-0,805;-2,012;-1,345;88,625
"fou";-0,631;-6,577;0,058;0,017;47,838;-1,635;-23,073
"juif";646,032;-7,669;-25,198;-6,254;-47,299;-4,389;-56,628
"emji_visage_qui_pleure_à_chaudes_larmes";-9,981;5,702;247,445;-1,497;-36,123;-0,487;-16,23
"user";10,252;-2,115;-9,24;-3,343;-0,413;-4,839;7,034
"réel";-11,306;-4,659;-4,39;0,36;0,742;-2,934;25,679
"propos";-0,147;-6,577;-25,822;-0,07;155,812;-3,049;-38,465
"massacre";418,11;-5,838;-14,771;-4,761;-26,718;-3,341;-40,373
