"";"";"";"";"*postReposts_40";""
"297";"*i_0282";"-0.691888308296145";"0.119523822820302";"0.81586292790045";"434"
"298";"*postComments_136";"-0.691888308296145";"0.119523822820302";"0.81586292790045";"435"
"299";"*postLikes_5600";"-0.2317322226695";"-0.0323846490635991";"0.815651738013713";"436"
"300";"*postLikes_6900";"-0.0700266255777787";"0.157046471124766";"0.815645443726892";"437"
"301";"*i_0304";"-0.723073241831369";"-0.460108253638091";"0.815410401805888";"439"
"302";"*i_0556";"-0.465976696677717";"-0.019826390145656";"0.815405432632083";"440"
"303";"*postComments_303";"-0.465976696677717";"-0.019826390145656";"0.815405432632083";"441"
"304";"*i_0555";"-0.868729202881431";"-0.265687545107592";"0.8151008222778";"442"
"305";"*postLikes_14100";"-0.868729202881431";"-0.265687545107592";"0.8151008222778";"443"
"306";"*postLikes_4700";"-0.95315718100158";"-0.089402127618713";"0.815061731443863";"444"
"307";"*i_0147";"-0.603099954288159";"0.708427760555241";"0.814993156845346";"447"
"308";"-*loicccmfr";"-1.05201532948171";"-0.891313587354977";"0.814989181506301";"448"
