"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"bas";-12,638;-4,662;-3,238;-0,137;-0,029;-1,125;-1,089;84,048;-2,981
"acheter";-10,66;-9,655;-9,209;-5,347;-3,391;-20,447;-35,254;14,722;405,247
"possible";-9,076;-14,964;-1,751;-0,204;-0,047;1,782;-0,314;23,668;0,323
"propre";-12,974;-14,964;-2,971;-2,968;0,774;14,124;12,872;0;-0,552
"avis";-12,638;-11,068;-7,916;0,075;2,236;-0,165;175,394;-16,504;-13,837
"façon";-10,549;-9,482;-4,774;1,579;-1,63;23,774;0,112;-0,738;1,957
"voter";-6,759;-13,825;-18,871;-6,618;-0,015;-17,504;171,852;7,192;-8,768
"terre";-10,16;-15,447;215,547;-1,547;-3,256;0,039;-20,793;-8,945;1,274
"sécurité";-12,582;-16,124;-1,366;112,711;-3,361;-0,044;-0,115;4,608;-0,673
"interdire";-11,967;-13,257;-9,002;33,088;0,245;1,027;-4,94;-13,094;126,36
"mauvais";-11,967;-11,567;-7,795;-1,43;-0,418;79,496;-1,408;-3,263;2,841
"voiture";-6,343;-9,815;-25,565;-1,373;-3,167;-44,64;-51,789;-7,089;1138,35
"super";-3,933;4,95;-15,34;-2,504;1,025;-0,252;-0,431;6,449;7,171
"choix";-6,655;-17,373;-7,083;-2,469;-3,256;51,781;-3,973;17,576;-3,248
"initiative";-3,888;-17,373;-22,335;-4,96;1,046;-0,642;55,021;27,772;-13
"égalité";-8,997;-8,493;-25,609;-7,33;-1,256;329,232;-7,836;-10,356;-16,017
"respect";-1,011;-16,981;0,111;3,175;-0,418;219,065;-18,445;-31,496;-16,019
"répondre";-11,799;-11,291;-2,84;-4,662;-0,392;-15,622;232,652;-18,317;-0,004
"foutre";-6,707;-5,208;-0,385;13,33;-0,463;46,409;-8,27;-0,748;-3,315
"terme";-11,239;-19,88;1,248;-0,481;-1,309;0,994;57,745;-4,025;-5,828
"mériter";-0,675;-12,032;0,472;0,109;0,387;1,806;-0,057;12,975;-11,241
"équipe";0,088;-0,665;-9,254;-1,353;-0,978;41,215;-7,585;1,422;-2,211
"majorité";-12,19;-19,411;-4,17;-1,547;0,209;0,001;6,029;20,717;0,459
"important";-12,19;-17,373;-7,083;-0,068;-1,535;78,534;-0,934;0,004;-0,455
"sembler";-11,911;-14,965;0,13;-0,036;0,254;-3,929;25,761;0,339;1,057
"victime";-6,395;-14,965;62,071;-1,401;-3,182;55,581;-2,255;-15,674;-21,836
"taxe";-10,96;-11,564;-21,264;-9,268;-2,928;-36,084;-34,075;654,246;-7,842
"entendre";-11,743;-5,654;1,147;-0,021;-0,002;9,193;18,85;-9,991;-4,454
"risque";-11,519;-10,833;-10,716;0,063;-3,077;-0,319;0,088;22,021;17,827
"classe";-5,982;-9,195;-24,582;-5,941;0;-21,646;-21,225;442,136;-5,07
"également";-9,495;-16,199;0,947;-0,579;0,327;-3,747;0,68;6,133;14,127
"israel";-10,96;-19,386;1270,892;-7,283;-2,928;-45,016;-38,416;-41,107;-19,924
"feu";-9,717;-11,199;217,318;6,382;-3,137;-7,498;-22,299;-30,68;27,439
"pareil";-9,661;-6,784;-12,522;-4,577;-0,375;5,733;0,294;-0,325;50,627
"manifestant";-9,44;-16,102;15,852;2200,224;-3,062;-45,072;-38,374;-40,602;-20,936
"maladie";-9,384;-18,03;-26,597;-9,646;-3,047;-36,062;-33,891;663,028;-3,125
"occuper";-11,463;-14,195;8,51;-2,026;0,339;4,185;-5,354;14,517;-0,735
"baisser";-11,127;-13,618;-25,891;-7,423;-2,972;-48,203;-36,933;611,381;0,204
"absolument";-7,774;-12,691;-2,622;-1,261;0,305;0,812;52,31;-0,03;-7,653
"nombre";-10,177;-18,002;0,635;7,852;-0,17;-5,003;-9,691;17,882;31,096
"manger";-10,568;-10,91;-22,337;-5,225;-2,823;-19,571;-19,427;-2,184;707,243
"taxer";-10,513;-18,595;-26,581;-8,889;-1,139;-47,718;-14,676;645,717;-8,447
"nouvelle";-2,002;-0,873;-2,592;-5,627;-2,957;1,241;-1,066;-6,195;80,785
"effet";-11,016;-7,099;-23,459;0,156;-1,256;0,394;0,383;-0,149;85,959
"arme";-8,997;-13,427;191,14;2,042;-1,256;-0,179;-9,98;-7,031;-3,493
"emji_visage_avec_des_symboles_dans_la_bouche";-2,605;20,345;-1,519;-0,005;-0,696;-1,89;0,097;-0,175;0,386
"crime";-10,68;-18,891;776,602;-7,05;-2,853;-18,468;-12,549;-24,872;-21,538
"poser";-11,407;-14,099;-7,897;-5,896;-1,349;-1,84;149,191;-2,342;-1,142
"exactement";-1,487;-14,387;-0,562;-4,492;0,316;0,356;45,662;-0,02;-8,887
"base";-7,451;-10,468;-6,538;-0,135;3,19;-7,155;29,306;23,684;-4,829
"éviter";-11,016;-8,493;-6,03;-2,8;-2,943;-0,9;7,716;9,077;12,836
"valoir";-2,077;-1,494;-2,738;-2,913;5,771;0,116;-3,281;32,544;-0,97
"retrouver";-10,96;-5,751;-3,999;-0,943;-0,269;39,511;-12,199;1,346;5,893
"suivre";-11,183;-11,938;-0,333;1,884;-2,987;-6,84;58,562;1,04;-2,858
"parent";-8,72;-12,947;-22,758;-1,607;0,013;90,529;-20,069;28,295;-4,05
"langue";-7,891;-8,216;-22,789;-6,399;7857,888;-29,151;-31,667;-16,828;-13,823
"source";-8,499;-14,444;-0,072;-3,699;-0,211;-24,363;135,373;-0,755;0
"info";-5,673;0,084;-0,59;0;-2,972;-36,861;139,798;-9,478;-0,242
"citoyen";-10,96;-19,386;-5,929;58,803;0,006;2,385;11,296;0,162;-9,229
