"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"273";"propos";"-0.0273362313726479";"-0.631742830668987";"0.843765959949043";"452"
"274";"phrase";"0.0132979343322368";"-0.5292016512484";"0.843566936043421";"453"
"275";"contexte";"0.334379928250338";"-0.624402859528232";"0.843521401786226";"454"
"276";"sûr";"0.269918116518217";"-0.594809458377314";"0.843457171343957";"455"
"277";"logique";"0.361779558302141";"-0.686375011858589";"0.843410430881273";"456"
"278";"valoir";"0.177768899655319";"0.0792896414279279";"0.843399575031875";"457"
"279";"drôle";"0.26385390785275";"-0.115518184189943";"0.843322679431976";"458"
"280";"insulter";"0.419560939137938";"-1.00952436400454";"0.84312033846126";"459"
"281";"courir";"-0.0445730193925912";"-0.477965238310098";"0.843116418293422";"460"
"282";"social";"0.0920593424851954";"-0.714120971010676";"0.84292161610701";"461"
"283";"langue";"0.311435566174569";"-0.0535043362576667";"0.842854671702392";"462"
"284";"penser";"0.282358208985918";"-0.446068214682715";"0.842493413158551";"463"
"285";"occident";"0.41130024708063";"-1.25794547242598";"0.842202717635793";"464"
"286";"voix";"-1.63586440852638";"1.24146083117001";"0.84199374253489";"465"
"287";"emji_notes_de_musique";"-2.43524251218717";"1.88232591382183";"0.841978966517655";"466"
"288";"réchauffement";"0.407733275229342";"-1.1572597996149";"0.841585743528365";"467"
"289";"croyant";"0.300423870501723";"-1.03912373506695";"0.841585743528365";"468"
"290";"prononcer";"0.713748205351765";"0.660653190507073";"0.841442506626591";"469"
"291";"seum";"0.553087714086052";"0.187749498244341";"0.840890064512804";"472"
"292";"mettre";"0.346149935927049";"-0.443949966638149";"0.840840006985026";"473"
"293";"sexuel";"0.313773568581634";"-1.08831290645121";"0.840664504086432";"474"
"294";"sexe";"0.389039669650844";"-1.16628935271734";"0.840151565202397";"475"
"295";"partager";"-1.560537448158";"1.00865213200042";"0.840076177359359";"477"
"296";"chaussette";"0.503881564915423";"0.189053382555239";"0.839954350605008";"478"
"297";"vieux";"0.0304915421318775";"-0.0796630041395748";"0.839801162507953";"479"
"298";"ordinateur";"0.40687711287145";"-1.07652479831741";"0.839603947910564";"480"
"299";"nom";"0.308393178092001";"-0.506277700266726";"0.839388338679474";"481"
"300";"friendzone";"0.339374109115859";"-1.23074725155139";"0.839087993512808";"482"
"301";"pov";"0.535307715480025";"0.155828651638592";"0.838799107298283";"483"
"302";"emji_ok";"-1.70372471187211";"1.58786505365016";"0.838718593081918";"484"
"303";"arriver";"0.25994535666599";"-0.387870838958002";"0.838676978992561";"485"
"304";"sage";"-2.33698573370842";"1.76959790832958";"0.83849634972064";"486"
"305";"féminisme";"0.61211344521784";"-0.801710307548011";"0.838418549466624";"487"
"306";"correctement";"0.468898961608616";"-0.78492108387485";"0.838337432147515";"488"
"307";"manière";"0.118223505345898";"-0.597863971648159";"0.838263853612709";"489"
"308";"exister";"0.306125248276791";"-0.382137873362549";"0.838071463837274";"490"
"309";"exactement";"0.161059142045202";"-0.580791257709993";"0.838029246645173";"491"
"310";"banque";"0.367073978230655";"-1.03134025651036";"0.837994568237375";"492"
"311";"laisser";"0.234283188543323";"-0.641577360610412";"0.837986727901699";"493"
"312";"donner";"0.0772433119303112";"-0.553396333159184";"0.837934257962944";"494"
"313";"société";"0.013627721223608";"-0.655314888218026";"0.837481327801967";"496"
"314";"savoyard";"0.303256547176243";"0.414713347846052";"0.837282002344973";"497"
"315";"critique";"0.395574936794232";"-1.0099994109531";"0.836904460027035";"498"
"316";"emji_chat_souriant_aux_yeux_en_coeurs";"-2.19517834910476";"1.60741921324374";"0.836884256085101";"499"
"317";"jugement";"0.31245146262698";"-1.10144228879311";"0.836841737341627";"500"
"318";"benett";"0.20248813151986";"-0.0167188804173292";"0.836681312011641";"501"
"319";"conséquence";"0.360985514831182";"-1.20686277312478";"0.836477764835437";"502"
