"";"";"";"";"klaunzer";""
"203";"nocturne";"-0.521029630508111";"0.230187846571438";"0.841234126483029";"511"
"204";"doux";"0.0390095203613358";"-0.265336613439434";"0.841234126483029";"512"
"205";"vaudois";"-0.365387255193328";"-0.0671313533267915";"0.841219319426666";"513"
"206";"bâle";"0.0919097614232491";"0.247098931860411";"0.841012020637575";"514"
"207";"enseignant";"-0.298727604149045";"-0.519734244813852";"0.840954202607965";"516"
"208";"développement";"0.00868371154734519";"-0.725725523272045";"0.840766646560693";"517"
"209";"développer";"0.0933258125440994";"-0.37209013231133";"0.840766646560693";"518"
"210";"sud";"-0.452294910218225";"-0.829933486635759";"0.840729276370823";"519"
"211";"territoire";"-0.197454924895791";"-1.15043323741231";"0.840729276370823";"520"
"212";"ukrainien";"-0.63853629122765";"-1.38146458868459";"0.84054172032355";"521"
"213";"accusation";"-0.554204839735676";"-1.21826923083105";"0.84054172032355";"522"
"214";"domestique";"0.109500820728822";"-0.636376565371583";"0.840299166638356";"523"
"215";"réduction";"-0.0310614888928866";"-0.416450927773698";"0.840214554887707";"524"
