nécessiter;0;0;0;2;0;2;0;1;0;0;0;1
new;0;0;5;0;0;1;0;0;0;3;0;1
naissance;0;0;0;0;0;0;0;0;4;0;0;2
motion;0;0;0;0;0;0;5;2;1;0;0;0
moment;0;0;1;0;1;0;1;0;0;1;0;0
ministère;0;3;2;0;3;3;0;0;0;0;0;0
midi;0;0;0;1;2;0;2;0;0;0;1;0
meilleur;3;0;0;3;0;0;0;0;1;1;0;0
manifester;0;0;0;0;3;1;1;1;0;0;0;1
long;1;0;1;0;0;0;0;1;0;0;0;4
jouer;1;0;0;0;1;1;0;0;1;1;1;2
interroger;1;0;0;1;0;1;1;0;0;0;0;0
installer;0;0;1;2;0;0;0;1;0;1;2;0
image;0;0;0;0;0;2;0;0;0;0;0;6
garder;0;2;0;0;1;0;2;3;0;0;0;2
fête;0;0;0;0;1;0;0;0;1;1;1;0
froid;0;0;0;0;1;0;0;0;0;0;7;1
football;8;0;0;1;0;0;1;0;0;0;0;0
fan;2;0;0;0;0;0;0;0;0;2;0;0
exprimer;2;0;1;2;0;1;0;2;0;0;1;0
environnement;0;1;0;1;2;0;0;0;0;0;0;2
