"";"banalfreq";"X.rts_a";"X.rts_i"
"salarial";44;-1,7706;1,7706
"35";50;1,0531;-1,0531
"double";81;-0,399;0,399
"divers";31;-1,2804;1,2804
"extérieur";49;1,1604;-1,1604
"infirmier";38;-1,1138;1,1138
"gestion";50;-1,2001;1,2001
"valoir";281;0,3336;-0,3336
"mat";11;1,4283;-1,4283
"aise";36;0,524;-0,524
"vacance";115;0,8533;-0,8533
"sain";71;1,8026;-1,8026
"misogyne";25;1,3127;-1,3127
"stérile";14;-0,6187;0,6187
"compenser";30;-1,9514;1,9514
"déplaire";33;0,581;-0,581
"partisan";15;-1,1405;1,1405
"fameux";78;-1,0657;1,0657
"progrès";47;0,7226;-0,7226
"catastrophe";84;-0,3312;0,3312
"2008";22;1,9729;-1,9729
"guerre";216;-0,4218;0,4218
"journal";63;1,502;-1,502
"répartir";12;-0,4038;0,4038
"préjugé";18;0,5089;-0,5089
"heure";407;1,1268;-1,1268
"familial";57;-0,8873;0,8873
"conserver";17;0,6228;-0,6228
"dès";193;-0,6933;0,6933
"humanité";171;-0,8121;0,8121
"auparavant";13;-0,2772;0,2772
"emji_tête_de_fou";36;-0,3546;0,3546
"généralisé";13;0,9223;-0,9223
"évoquer";24;0,2418;-0,2418
"historique";68;-1,1142;1,1142
"emji_visage_qui_vomit";39;-0,7208;0,7208
"abandonner";58;0,9167;-0,9167
"repas";66;1,1837;-1,1837
"carrière";49;-0,2848;0,2848
"cest";157;1,1702;-1,1702
"désolant";10;-0,4634;0,4634
"féministe";91;0,797;-0,797
"innocent";28;-0,4747;0,4747
"maquiller";12;1,1454;-1,1454
"ouais";143;-0,6947;0,6947
"trans";18;-0,7636;0,7636
"retourner";138;1,921;-1,921
"pote";57;1,4633;-1,4633
"bobo";23;1,7228;-1,7228
"raisonnement";75;0,4255;-0,4255
"ect";54;0,8811;-0,8811
"dessus";189;-0,3562;0,3562
"fermeture";18;0,5089;-0,5089
"dont";367;-1,7835;1,7835
"cul";27;-1,1513;1,1513
"occuper";255;-1,0405;1,0405
"insultant";22;0,5586;-0,5586
"moindre";85;-1,608;1,608
"désaccord";10;0,391;-0,391
"morale";62;-1,5404;1,5404
"story";13;1,3817;-1,3817
"excellence";12;-0,4038;0,4038
"ahah";18;0,7776;-0,7776
"euh";48;0,2605;-0,2605
"amalgame";14;1,6289;-1,6289
"rarement";44;1,846;-1,846
"soumettre";59;1,2371;-1,2371
"annees";10;1,7962;-1,7962
"lucidité";10;1,1722;-1,1722
"recherche";116;-1,6835;1,6835
"honnête";49;-0,5275;0,5275
"vice";14;0,2503;-0,2503
"interdire";304;-0,9;0,9
"pur";95;0,8295;-0,8295
"perfection";11;0,9219;-0,9219
"cesse";36;0,2533;-0,2533
"boire";79;0,8436;-0,8436
"constamment";26;-0,3407;0,3407
"endroit";162;1,0149;-1,0149
"ensemble";149;0,5607;-0,5607
"discussion";64;-1,4663;1,4663
"possible";318;-1,3276;1,3276
"totalité";18;-0,7636;0,7636
"remarquable";12;0,7278;-0,7278
"journalisme";29;-1,3956;1,3956
"somme";42;-0,972;0,972
"fumée";35;-0,6138;0,6138
"cigarette";49;-1,3712;1,3712
"alcool";89;-0,7763;0,7763
"mortel";29;-1,8078;1,8078
"doc";10;1,7962;-1,7962
"impossible";113;0,5051;-0,5051
"abuser";59;-1,2663;1,2663
"lucide";23;0,9692;-0,9692
"vin";43;-1,3365;1,3365
"qualité";208;-1,3408;1,3408
"forcément";170;-0,7711;0,7711
"nu";52;1,5676;-1,5676
"merveille";18;1,5519;-1,5519
"fuite";24;-0,5626;0,5626
"bouffe";29;1,0101;-1,0101
"clé";38;-0,3321;0,3321
"ressembler";80;1,5041;-1,5041
"entretien";34;-1,292;1,292
"dépression";36;-1,1975;1,1975
"ceci";85;0,6173;-0,6173
"psy";45;-0,5942;0,5942
"générosité";11;1,4283;-1,4283
"appel";51;-0,4982;0,4982
"clair";169;-0,8342;0,8342
"solitude";52;0,2931;-0,2931
"interroger";36;1,503;-1,503
"bel";48;0,645;-0,645
"souligner";36;-0,3546;0,3546
"livrer";17;1,8246;-1,8246
"facilité";29;-1,8078;1,8078
"quelqu_un";292;-1,0072;1,0072
"instruit";15;1,3519;-1,3519
"probablement";115;0,2841;-0,2841
"consulter";40;-0,8009;0,8009
"douleur";25;0,9823;-0,9823
"retrouver";325;1,4868;-1,4868
"parmi";66;-0,9653;0,9653
"saluer";17;-0,4022;0,4022
"profond";53;0,7791;-0,7791
"plupart";174;-1,1886;1,1886
"concurrence";35;0,2991;-0,2991
"second";26;1,1443;-1,1443
"dimension";15;0,3576;-0,3576
"lumière";82;0,6559;-0,6559
"goûter";24;0,5821;-0,5821
"intérieur";70;0,6912;-0,6912
"puisque";118;-0,823;0,823
"caractère";21;1,7473;-1,7473
"certe";12;0,7278;-0,7278
"allah";17;1,8246;-1,8246
"dépendre";135;0,4732;-0,4732
"conscience";145;-0,3458;0,3458
