"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"293";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"294";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"295";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"296";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"297";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"298";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"299";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"300";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"301";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"302";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"303";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"304";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"305";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"306";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"307";3;4;6;6;6;12;14;17;17;17;17;17;17;29;29;29;29;29;38
"308";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"309";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"310";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"311";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"312";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"313";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"314";3;4;7;8;11;11;11;11;19;20;20;20;20;20;20;20;20;20;20
"315";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"316";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"317";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"318";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"319";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"320";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"321";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"322";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"323";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"324";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"325";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"326";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"327";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
