"";"";"";"";"camp";""
"148";"accompagner";"-0.472488490172574";"-0.0264566772109974";"0.848192546468055";"448"
"149";",";"-0.245295973036334";"-0.00246705239984764";"0.847618337403755";"449"
"150";"métier";"-0.429087586439582";"-0.0194928980129089";"0.847526053804135";"450"
"151";"démarrer";"-0.508648045373478";"-0.179490624010257";"0.847351740338187";"452"
"152";"vie";"-0.473004150850995";"0.374557525161432";"0.847068053717134";"453"
"153";"crédit";"-0.318296553965334";"-2.29028821978732";"0.846422068519796";"456"
"154";"natal";"-0.458051012289464";"-1.61207178690463";"0.846422068519796";"460"
"155";"imposer";"-0.318296553965334";"-2.29028821978732";"0.846422068519796";"461"
"156";"arrêter";"-0.410719930802966";"-0.628304898771203";"0.845242889191322";"465"
"157";"vert";"-0.105673734958384";"-1.46942431234493";"0.8442346054177";"469"
"158";"orage";"-0.202913455144951";"-1.49059359365964";"0.8442346054177";"471"
"159";"sortie";"-0.105673734958384";"-1.46942431234493";"0.8442346054177";"472"
"160";"confier";"-0.196706906498215";"-1.41219679291638";"0.8442346054177";"474"
"161";"vignoble";"-0.196706906498215";"-1.41219679291638";"0.8442346054177";"475"
"162";"provoquer";"-0.105673734958384";"-1.46942431234493";"0.8442346054177";"476"
"163";"cacher";"-0.105673734958384";"-1.46942431234493";"0.8442346054177";"478"
"164";"début";"-0.149887951815067";"0.0106976517353602";"0.843547605287198";"479"
"165";"liberté";"-0.584190340239812";"0.223570833064906";"0.843082769378002";"482"
"166";"raison";"-0.560523261778538";"0.49899527493225";"0.843082769378002";"483"
"167";"jeunesse";"-0.565575658650153";"0.322695198839928";"0.842758067823785";"484"
"168";"lever";"-0.468335938463586";"0.343864480154636";"0.842758067823785";"485"
"169";"incontournable";"-0.542733626665301";"0.267081172601117";"0.842758067823785";"486"
"170";"important";"-0.468335938463586";"0.343864480154636";"0.842758067823785";"487"
"171";"geste";"-0.559369110003417";"0.401091999583184";"0.842758067823785";"488"
"172";"soin";"-0.541350206033992";"0.457942057315601";"0.842758067823785";"489"
"173";"période";"-0.565575658650153";"0.322695198839928";"0.842758067823785";"490"
"174";"prédiction";"-0.419614651679288";"-0.277124433299506";"0.842758067823785";"491"
"175";"auprès_de";"-0.542200969202008";"0.367056722004893";"0.842758067823785";"492"
"176";"réussir";"-0.297179800946387";"-1.01599632512275";"0.842423112536277";"493"
"177";"vivant";"-0.442885856991974";"0.82619198429562";"0.842423112536277";"494"
"178";"astuce";"-0.622176830117339";"0.544055704988432";"0.842047142315604";"495"
"179";"florilège";"-0.368660423423929";"0.576066551475042";"0.841630157161767";"497"
