"";"*rts_a";"*rts_i"
"fondement";3;8
"oh";26;25
"précis";7;24
"présent";11;24
"ordre";12;17
"18";2;13
"accueillir";6;24
"principalement";3;14
"fournir";4;6
"seconde";10;17
"milieu";9;19
"utile";14;13
"réel";23;51
"autorité";6;11
"satisfaire";8;8
"mentalité";6;11
"troll";6;15
"affligeant";14;8
"nul";6;9
"tenter";10;21
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";4;10
"ah";70;111
"vive";20;18
"armée";4;73
"cohérence";4;6
"modifier";13;5
"nature";31;17
"révolution";6;7
"lendemain";4;6
"génération";37;10
"futur";4;6
"voiler";8;5
"sortie";8;9
"celles";15;31
"pâtisserie";35;0
"negre";17;0
"nègre";43;0
"chocolat";23;0
"choco";16;0
"offusquer";15;4
"gâteau";23;2
"franchement";20;53
"putain";9;4
"casser";14;30
"foutre";16;31
"ouin";9;11
"tjs";14;9
"recul";14;8
"gamin";8;3
"intellectuel";19;18
"minorité";10;28
"dedans";11;9
"fragile";12;12
"changement";7;19
"manger";16;19
"ben";31;44
"hors";29;52
"oeuf";7;4
"dirigeant";2;20
"richesse";11;7
"polémique";4;15
"roman";13;10
"chier";12;11
"typique";7;17
"concerner";25;43
"afrique";6;5
"appellation";11;2
"origine";44;45
"réaliser";8;11
"lit";8;17
"nombre";16;23
"langage";37;9
"enfance";10;6
"traduire";6;8
"intention";19;23
"employé";4;9
"esclavage";10;6
"certain";21;35
"indigne";7;5
"sorte";8;14
"inverse";24;20
"moquer";13;8
"chrétien";18;4
"content";14;27
"territoire";3;7
"synonyme";7;7
"évident";9;16
"sexe";16;32
"habitude";16;25
"débile";26;15
"victime";22;55
"pleurer";9;13
"supérieur";23;18
"art";12;34
"médiocre";7;6
"création";8;4
"prononcer";7;4
"discrimination";9;19
"combattre";1;12
"com";9;9
"remplacer";7;10
"utiliser";102;127
"effacer";5;17
"boîte";7;7
"confirmer";14;24
"minoritaire";2;8
"majoritaire";8;9
"prison";4;10
"amuser";7;3
"chaud";4;12
"âgé";11;2
"revanche";13;14
"ps";16;19
"vs";7;6
"minimiser";4;14
"pcq";5;17
"désormais";16;7
"punir";5;7
"ramener";16;18
"aucunement";1;13
"flemme";1;9
"considérer";20;37
"apporter";26;55
"désoler";22;20
"tjr";7;11
"espèce";18;22
"longtemps";22;26
"dizaine";9;7
"absurde";5;12
"race";22;17
"choquant";4;7
"emji_femme_qui_hausse_les_épaules";10;9
"latin";9;3
"lorsque";16;22
"généralement";8;15
"loi";23;88
"connotation";11;0
"but";14;45
"blague";13;23
"américain";6;17
"parceque";10;4
"attention";22;39
"gaucho";5;30
"innocent";6;7
"merde";15;17
"pendant";28;31
"espagnol";8;9
"peau";29;25
"association";8;16
"sombre";9;2
