htag_portrait;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;1;0
htag_neuchatel;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
htag_musique;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;2;0;0
htag_mondaymood;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
htag_jura;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
htag_innovation;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0
htag_fondue;0;0;0;1;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
htag_ecologie;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
htag_chien;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
htag_armee;0;0;1;1;0;0;0;1;0;0;1;0;0;2;1;0;0;0;0;0;0
chacun;0;1;0;0;0;1;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0
celles;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
2005;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
1989;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0
1986;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0
1977;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0
1963;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1
1961;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0
tant;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0
htag_winter;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0
htag_vin;1;0;0;0;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
htag_tabac;0;0;0;0;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0
htag_suisseromande;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0
htag_soleil;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
htag_sixties;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
htag_game;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0
htag_chat;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;0;1
htag_breakdance;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
gare;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0
force;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
enfin;1;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
donc;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
combien;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0
1991;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;0;0;0;1
1984;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0
1973;0;0;0;0;0;0;1;0;0;0;2;2;1;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
12;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
souvent;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
quels;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2
presque;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;1
point;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
parce_que;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0
