"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"présenter";-0,745;-0,674;-0,512;-0,864;0,011;-0,535;-0,961;-0,604;-0,721;5,048;0,168;-1,034;-0,912;-0,84;-0,816;31,946;4,082;-0,558;0,083;1,826;0,032
"meilleur";-0,493;-0,446;-0,339;-0,572;3,484;-0,354;3,633;-0,4;-0,477;-0,668;-0,477;-0,684;11,371;0,475;0,516;-0,293;-0,384;-0,369;-0,54;0,401;-0,604
"genevois";-0,694;-0,628;-0,477;0,092;-0,918;-0,498;1,81;-0,563;-0,672;47,297;-0,672;-0,963;6,733;-0,783;-0,761;-0,413;-0,541;-0,52;-0,761;-0,828;0,063
"eau";-0,795;-0,72;-0,546;-0,923;0,001;0,417;-1,026;-0,645;-0,77;0;-0,77;4,271;-0,974;22,551;-0,872;0,71;0,314;3,903;-0,872;0,019;-0,974
"début";-0,593;-0,537;1,017;-0,688;0,113;-0,426;-0,765;-0,481;0,419;2,315;-0,574;-0,823;-0,727;-0,669;0,273;-0,353;-0,463;-0,444;-0,65;2,951;17,682
"cinéma";0,661;-0,446;-0,339;-0,572;-0,652;-0,354;0,307;-0,4;-0,477;-0,668;0,716;-0,684;-0,604;-0,556;-0,54;1,921;7,705;39,859;-0,54;-0,588;-0,604
"valoir";-0,846;-0,766;-0,581;-0,982;1,006;-0,608;-1,092;0,209;0,078;3,95;2,145;0,872;0,002;-0,955;-0,927;5,116;0,246;-0,634;1,633;-1,009;-1,037
"retour";-0,745;-0,674;-0,512;0,054;0,011;0,511;45,878;-0,604;0,168;-1,009;0,168;-1,034;-0,912;-0,84;-0,816;-0,443;0,396;-0,558;0,083;0,042;-0,912
"plaisir";-0,795;-0,72;0,477;5,828;-1,052;0,417;0,004;-0,645;-0,77;0;-0,77;-1,104;1,462;-0,897;-0,872;-0,473;-0,62;-0,596;0,049;-0,949;31,377
"mot";0,143;-0,674;0,579;0,054;0,011;-0,535;-0,961;-0,604;-0,721;19,486;-0,721;-1,034;0,032;0,067;-0,816;0,835;0,396;0,45;0,083;-0,888;-0,912
"matin";1,132;-0,356;2,224;-0,456;-0,52;-0,282;-0,507;1,682;-0,381;-0,533;1,208;-0,546;-0,482;-0,444;-0,431;-0,234;10,481;1,93;0,934;-0,469;-0,482
"laisser";-0,543;0,659;-0,373;3,649;2,903;-0,39;-0,7;-0,44;-0,526;-0,736;-0,526;-0,754;0,254;-0,612;-0,595;-0,323;0,939;1,027;0,379;-0,647;3,326
"français";0,865;-0,401;-0,304;-0,514;-0,586;-0,318;0,446;-0,359;-0,429;23,019;0,93;-0,615;-0,543;-0,5;0,696;-0,263;-0,345;-0,332;-0,485;0,559;-0,543
"fois";-0,694;-0,628;-0,477;0,092;-0,918;-0,498;0,04;-0,563;0,233;0,023;-0,672;-0,963;-0,85;-0,783;27,961;-0,413;0,495;4,893;-0,761;2,14;-0,85
"famille";0,035;-0,812;-0,616;-1,041;0,837;-0,644;-1,158;-0,728;6,374;-0,012;-0,869;7,887;0;-1,012;1,41;-0,534;-0,7;-0,672;0,01;0;1,051
"donner";-0,846;-0,766;0,392;0,01;-1,119;-0,608;1,08;-0,686;73,509;-1,147;0,078;-1,175;0,002;-0,955;-0,927;0,603;-0,66;-0,634;-0,927;1,33;-1,037
"complet";-0,846;-0,766;-0,581;-0,982;1,006;-0,608;0;-0,686;-0,82;-1,147;-0,82;-1,175;-1,037;-0,955;12,381;93,906;-0,66;-0,634;-0,927;4,982;-1,037
"chose";-0,745;-0,674;-0,512;-0,864;-0,985;-0,535;-0,961;-0,604;-0,721;11,092;-0,721;-1,034;0,032;72,069;0,083;-0,443;-0,581;-0,558;-0,816;-0,888;0,032
"champion";-0,644;-0,582;-0,442;-0,747;-0,851;0,759;-0,83;-0,522;-0,623;-0,872;-0,623;0,042;-0,788;85,322;2,943;-0,383;-0,502;0,683;-0,705;-0,767;-0,788
"blanc";-0,644;-0,582;-0,442;43,666;-0,851;-0,462;0,077;0,552;-0,623;0,052;-0,623;0,042;-0,788;-0,726;-0,705;-0,383;0,614;-0,482;-0,705;-0,767;2,382
"avis";-0,795;-0,72;-0,546;-0,923;-1,052;-0,571;-1,026;0,271;0,118;-1,078;0,118;0;79,136;-0,897;-0,872;-0,473;-0,62;0,362;-0,872;-0,949;1,462
"équipe";-0,393;1,377;-0,27;-0,456;-0,52;-0,282;5,318;1,682;-0,381;-0,533;1,208;-0,546;0,723;-0,444;-0,431;-0,234;1,8;-0,294;-0,431;0,771;-0,482
"tour";-0,694;-0,628;-0,477;-0,805;-0,918;-0,498;-0,895;24,035;-0,672;-0,941;-0,672;0,016;0,063;-0,783;-0,761;6,89;41,727;-0,52;0,13;-0,828;-0,85
"rire";-0,593;-0,537;-0,407;-0,688;0,113;-0,426;-0,765;-0,481;-0,574;-0,804;-0,574;-0,823;2,81;-0,669;0,273;-0,353;-0,463;-0,444;96,512;-0,707;-0,727
"neige";-0,694;0,304;-0,477;2,264;-0,918;-0,498;-0,895;0,439;-0,672;-0,941;-0,672;62,3;2,023;-0,783;-0,761;-0,413;-0,541;-0,52;-0,761;-0,828;-0,85
"armée";-0,694;3,59;0,699;0,092;-0,918;-0,498;-0,895;12,175;-0,672;-0,941;-0,672;0,016;0,063;2,395;0,13;-0,413;-0,541;-0,52;-0,761;0,076;0,063
"tête";0,502;-0,491;-0,373;-0,63;0,183;-0,39;-0,7;-0,44;-0,526;-0,736;-0,526;-0,754;0,254;-0,612;0,379;-0,323;-0,423;-0,407;-0,595;-0,647;70,928
"radio";-0,245;-0,221;-0,168;-0,284;-0,324;-0,176;-0,316;3,626;-0,237;9,934;14,789;-0,34;-0,3;-0,276;-0,268;-0,146;-0,191;-0,183;-0,268;-0,292;-0,3
"propre";-0,245;-0,221;4,53;-0,284;-0,324;-0,176;-0,316;-0,198;-0,237;1,659;-0,237;1,592;-0,3;-0,276;-0,268;-0,146;3,825;-0,183;-0,268;2,051;-0,3
"nouveau";-0,644;0,397;-0,442;-0,747;-0,851;-0,462;-0,83;13,498;-0,623;-0,872;35,593;1,838;0,107;-0,726;-0,705;-0,383;-0,502;-0,482;-0,705;0,125;-0,788
"ambiance";-0,294;2,325;-0,202;-0,341;20,607;-0,211;-0,379;-0,239;-0,285;-0,399;-0,285;1,094;-0,36;-0,332;-0,322;-0,175;-0,229;-0,22;1,699;-0,351;-0,36
"vin";0,378;-0,537;-0,407;-0,688;2,429;-0,426;-0,765;-0,481;0,419;26,511;-0,574;0,084;-0,727;-0,669;0,273;-0,353;-0,463;0,838;-0,65;-0,707;-0,727
"village";34,28;-0,582;-0,442;-0,747;-0,851;-0,462;-0,83;-0,522;-0,623;-0,872;-0,623;-0,893;-0,788;-0,726;2,943;1,157;-0,502;-0,482;-0,705;0,125;15,798
"sport";-0,344;1,777;-0,236;-0,399;-0,454;-0,247;6,547;-0,279;-0,333;-0,466;-0,333;5,912;-0,421;-0,388;1,254;-0,204;-0,268;-0,257;-0,376;1,059;-0,421
