merde;9;1;3;5;0;1;0;2;10;8;6;15;0;3;3;14;1;20;1
ouais;6;2;2;5;1;1;4;2;7;6;9;5;2;1;5;13;4;11;1
dessus;8;8;6;4;0;1;0;3;8;10;5;4;2;0;2;1;3;25;0
arrière;3;3;1;3;0;8;0;0;3;4;5;19;1;1;2;3;3;17;8
force;6;0;2;1;0;1;1;1;10;18;6;13;2;1;4;2;5;6;10
malgré;5;5;3;1;0;1;1;0;8;12;17;17;2;0;1;1;0;13;4
hier;2;2;2;0;0;14;1;4;15;5;10;5;1;0;5;6;6;9;1
100;2;4;3;2;0;5;2;6;9;10;7;1;0;0;2;1;5;17;5
dès;9;5;0;0;0;1;0;2;6;4;8;3;4;0;1;4;6;30;4
haha;7;3;1;2;1;8;2;6;8;5;3;6;0;2;8;7;1;10;2
ensuite;9;8;2;2;0;1;1;1;10;13;5;8;3;1;2;2;5;9;0
combien;8;3;0;1;0;0;0;2;5;6;8;7;0;0;4;3;5;21;3
6;3;7;0;2;0;1;1;3;6;1;4;11;0;0;0;3;7;20;0
attention;4;1;3;2;1;1;0;2;10;12;4;13;1;0;1;3;5;16;0
certain;2;4;6;2;0;3;0;3;9;11;11;11;2;1;0;1;3;4;3
plupart;7;1;1;4;0;1;1;5;10;20;10;4;0;0;0;2;4;4;1
chouette;3;4;0;1;1;21;0;2;5;3;4;5;1;0;1;2;2;11;9
selon;6;1;4;3;0;0;0;6;10;17;4;6;1;0;2;1;2;11;0
15;6;2;0;0;0;1;1;0;10;1;8;7;0;2;2;3;5;18;2
lorsque;3;2;2;2;0;0;1;1;8;11;8;4;1;1;1;1;1;22;0
25;4;2;0;0;1;5;1;2;10;12;6;3;0;0;0;5;4;9;0
7;3;5;1;0;0;1;1;0;4;8;4;2;0;0;1;2;9;20;0
or;5;2;1;0;2;4;0;2;2;4;6;2;1;0;0;3;2;8;6
autour;4;8;3;2;0;0;1;0;4;9;3;11;1;0;0;2;0;12;2
hors;2;1;3;4;0;2;0;1;19;9;1;5;0;0;0;2;3;12;1
12;3;3;2;1;0;0;0;4;6;8;7;3;0;0;5;2;3;12;2
ha;2;2;0;3;3;4;0;1;9;4;6;3;1;1;2;3;4;5;3
2024;1;0;1;1;0;3;2;0;8;5;9;12;0;0;0;2;5;7;5
eh;3;2;1;5;1;2;1;3;3;6;7;10;0;1;1;4;0;5;1
14;2;6;3;3;0;3;2;1;18;2;3;1;0;0;0;3;4;4;0
tel;4;1;3;2;0;1;1;1;7;9;5;4;0;1;2;4;2;8;2
soi;7;0;0;3;0;1;0;1;8;14;7;6;1;0;1;1;1;6;2
dehors;5;2;0;1;0;2;1;1;6;6;6;5;1;0;0;1;3;16;0
dedans;6;1;4;9;0;0;0;3;5;1;3;4;0;0;3;4;0;11;0
million;8;1;0;1;0;1;0;2;2;7;4;1;0;0;0;2;14;8;0
différents;2;4;0;0;0;2;0;10;4;10;6;4;1;0;0;1;1;11;0
ouf;1;1;2;0;0;3;1;2;5;4;5;4;2;0;4;5;1;10;1
in;2;0;0;0;27;6;0;0;0;1;0;3;0;0;0;3;0;5;2
0;4;1;1;3;1;0;0;4;4;5;2;2;0;0;4;4;5;5;1
trois;10;1;1;3;0;2;0;3;4;4;5;5;1;0;1;1;1;8;0
jusqu_au;7;5;0;1;0;1;0;1;1;2;3;3;0;0;2;1;2;19;1
tiens;1;1;1;1;0;1;0;2;5;3;4;4;2;0;2;3;4;5;0
celles;3;1;1;1;0;1;0;0;4;5;4;11;0;0;2;4;2;6;0
2023;2;0;6;0;0;1;1;0;5;7;1;1;1;0;3;4;3;11;3
13;0;3;2;0;0;0;1;0;4;2;0;4;2;2;5;3;4;10;0
x;0;4;2;1;0;1;1;1;3;5;4;2;1;0;1;4;1;10;2
puisque;3;1;4;1;0;1;0;2;6;8;3;11;0;0;0;2;0;5;0
hélas;4;1;0;1;0;3;0;2;5;5;10;7;1;0;0;0;3;2;1
ceci;3;0;1;2;0;2;0;0;6;13;4;4;2;0;0;0;1;8;1
9;2;4;1;1;1;2;0;0;3;3;7;2;0;0;2;1;3;11;0
000;1;1;0;0;0;0;0;3;5;3;1;0;0;1;0;4;5;8;1
durant;1;0;1;4;0;2;2;1;2;5;3;4;0;0;0;4;2;9;0
lors;1;3;0;4;0;0;0;2;0;1;2;5;1;0;1;1;6;15;0
quels;0;4;1;0;0;14;0;1;0;3;2;3;1;1;2;2;0;4;2
mme;3;3;3;1;0;0;0;1;1;3;2;4;1;0;2;2;0;8;2
lorsqu;8;1;0;0;0;0;0;0;4;7;2;8;0;0;1;0;1;5;1
certes;3;2;2;0;0;0;0;1;3;5;4;4;0;0;0;0;5;10;0
