"";"V1"
"2056";16
"2057";6
"2058";12
"2059";12
"2060";6
"2061";12
"2062";6
"2063";19
"2064";14
"2065";16
"2066";6
"2067";6
"2068";11
"2069";1
"2070";18
"2071";11
"2072";9
"2073";15
"2074";12
"2075";10
"2076";10
"2077";10
"2078";10
"2079";9
"2080";10
"2081";19
"2082";12
"2083";12
"2084";9
"2085";16
"2086";10
"2087";10
"2088";9
"2089";10
"2090";11
"2091";10
"2092";10
"2093";9
"2094";9
"2095";11
"2096";5
"2097";16
"2098";16
"2099";11
"2100";4
"2101";18
"2102";12
"2103";14
"2104";8
"2105";4
"2106";4
"2107";4
"2108";4
"2109";4
"2110";4
"2111";12
"2112";4
"2113";4
"2114";4
"2115";4
"2116";1
"2117";6
"2118";16
"2119";16
"2120";6
"2121";6
"2122";1
"2123";0
"2124";15
"2125";4
"2126";10
"2127";4
"2128";10
"2129";4
"2130";4
"2131";4
"2132";4
"2133";4
"2134";4
"2135";10
"2136";10
"2137";9
"2138";9
"2139";12
"2140";12
"2141";12
"2142";10
"2143";4
"2144";1
"2145";16
"2146";10
"2147";10
"2148";12
"2149";6
"2150";15
"2151";16
"2152";6
"2153";16
"2154";6
"2155";13
"2156";16
"2157";19
"2158";16
"2159";15
"2160";0
"2161";16
"2162";6
"2163";16
"2164";2
"2165";4
"2166";10
"2167";19
"2168";7
"2169";18
"2170";0
"2171";16
"2172";15
"2173";16
"2174";16
"2175";6
"2176";14
"2177";15
"2178";11
"2179";11
"2180";12
"2181";16
"2182";6
"2183";14
"2184";14
"2185";17
"2186";0
"2187";6
"2188";11
"2189";6
"2190";15
"2191";7
"2192";19
"2193";6
"2194";1
"2195";6
"2196";18
"2197";13
"2198";8
"2199";0
"2200";18
"2201";4
"2202";6
"2203";18
"2204";6
"2205";6
"2206";16
"2207";17
"2208";18
"2209";17
"2210";6
"2211";6
"2212";11
"2213";18
"2214";6
"2215";7
"2216";16
"2217";18
"2218";6
"2219";16
"2220";0
"2221";3
"2222";9
"2223";9
"2224";16
"2225";10
"2226";16
"2227";0
"2228";10
"2229";18
"2230";10
"2231";10
"2232";0
"2233";16
"2234";1
"2235";15
"2236";10
"2237";10
"2238";12
"2239";12
"2240";18
"2241";9
"2242";12
"2243";1
"2244";1
"2245";18
"2246";4
"2247";16
"2248";11
"2249";7
"2250";19
"2251";9
"2252";5
"2253";19
"2254";12
"2255";6
"2256";9
"2257";1
"2258";11
"2259";18
"2260";10
"2261";11
"2262";11
"2263";9
"2264";11
"2265";0
"2266";15
"2267";9
"2268";0
"2269";10
"2270";0
"2271";9
"2272";16
"2273";0
"2274";10
"2275";6
"2276";19
"2277";6
"2278";6
"2279";0
"2280";12
"2281";16
"2282";11
"2283";6
"2284";11
"2285";19
"2286";19
"2287";19
"2288";10
"2289";6
"2290";18
"2291";18
"2292";2
"2293";16
"2294";11
"2295";11
"2296";16
"2297";15
"2298";10
"2299";16
"2300";15
"2301";18
"2302";19
"2303";19
"2304";10
"2305";19
"2306";19
"2307";12
"2308";17
"2309";7
"2310";1
"2311";16
"2312";12
"2313";19
"2314";11
"2315";6
"2316";19
"2317";15
"2318";12
"2319";12
"2320";19
"2321";19
"2322";19
"2323";6
"2324";6
"2325";6
"2326";4
"2327";16
"2328";15
"2329";4
"2330";16
"2331";15
"2332";13
"2333";16
"2334";2
"2335";19
"2336";1
"2337";19
"2338";2
"2339";10
"2340";9
"2341";4
"2342";6
"2343";6
"2344";19
"2345";16
"2346";6
"2347";10
"2348";10
"2349";6
"2350";10
"2351";0
"2352";11
"2353";19
"2354";7
"2355";16
"2356";18
"2357";19
"2358";6
"2359";9
"2360";1
"2361";19
"2362";11
"2363";19
"2364";18
"2365";11
"2366";11
"2367";9
"2368";19
"2369";11
"2370";12
"2371";6
"2372";19
"2373";10
"2374";6
"2375";10
"2376";18
"2377";11
"2378";11
"2379";0
"2380";9
"2381";18
"2382";18
"2383";19
"2384";19
"2385";6
"2386";19
"2387";1
"2388";13
"2389";16
"2390";18
"2391";10
"2392";12
"2393";19
"2394";19
"2395";9
"2396";19
"2397";19
"2398";12
"2399";6
"2400";19
"2401";16
"2402";7
"2403";11
"2404";15
"2405";9
"2406";19
"2407";15
"2408";6
"2409";0
"2410";16
"2411";19
"2412";15
"2413";16
"2414";16
"2415";19
"2416";15
"2417";16
"2418";19
"2419";16
"2420";15
"2421";6
"2422";12
"2423";15
"2424";8
"2425";11
"2426";18
"2427";11
"2428";12
"2429";18
"2430";18
"2431";11
"2432";11
"2433";9
"2434";8
"2435";11
"2436";18
"2437";16
"2438";15
