"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"bas";-0,522;-0,365;90,818;-0,855;-0,176;-1,037;-6,434;-26,246
"situation";-4,63;14,405;-0,534;-4,591;-9,32;69,582;10,97;-98,974
"couper";-1,338;-17,714;191,555;-1,636;-10,242;-3,239;-9,02;-16,191
"israélien";-4,445;3128,878;-83,665;-6,217;-19,232;-95,414;-47,625;-104,876
"honte";-4,485;8,529;-0,471;-0,003;-0,626;115,31;-12,077;-65,832
"heureusement";1,38;-10,221;-18,431;-0,272;7,14;179,552;-12,028;-31,672
"avis";-1,369;-1,138;-37,36;-4,447;-12,005;31,183;237,983;-73,107
"liberté";-2,506;6,066;-7,256;-2,619;-9,505;19,288;83,364;-67,982
"père";-4,418;-22,276;-12,806;-6,18;-0,949;1,145;-3,264;80,527
"génocide";-4,418;2721,482;-85,517;-6,18;-11,57;-75,615;-31,472;-104,253
"âge";-4,458;-26,289;-37,742;-0,002;-7,292;153,379;-0,197;-0,149
"mec";-1,265;-12,684;-39,786;-2,733;131,426;58,722;2,464;-30,592
"imaginer";3,011;-8,309;24,772;-0,002;-0,003;28,588;-3,546;-50,005
"cours";-4,273;-0,579;-6,293;-5,977;-3,357;103,194;-0,391;-18,331
"choix";-0,375;-5,543;10,569;-6,05;-8,15;121,642;-6,926;-62,271
"absolument";-2,643;-0,165;-7,321;-0,727;-13,392;0,129;181,745;-33,038
"reconnaître";-4,326;399,641;-15,55;-4,178;-2,652;-9,304;-2,283;-12,024
"assurance";-4,128;-29,84;1041,871;-5,773;-17,861;-85,739;-48,212;-89,673
"également";-2,531;1,624;26,176;0,001;-9,61;-1,795;2,347;-13,896
"langue";-0,161;-17,972;-17,318;-5,367;-0,478;-44,415;727,155;-51,387
"peur";-2,481;-0,908;-10,975;4,65;-3,357;128,821;-1,613;-31,253
"équipe";-3,864;-23,699;305,888;-3,553;-6,413;-15,383;-23,464;-12,207
"terme";-0,293;3,699;-5,171;0,018;7,657;7,058;43,487;-71,24
"rue";-2,431;18,773;0,486;0,009;-0,09;71,879;-30,973;-48,296
"rire";-1,082;-16,952;-33,735;-1,295;0;-23,633;0,149;184,842
"mère";0,93;-23,877;-30,416;-0,5;-0,224;24,776;-9,166;41,846
"aide";-2,419;49,962;7,585;-0,547;-7,698;18,084;-3,302;-65,877
"emji_visage_souriant_aux_yeux_rieurs";0;-23,075;-20,388;-0,428;-0,771;-20,39;-10,336;237,946
"hiver";-4,075;-29,431;-17,411;-0,455;-15,575;-24,933;-36,87;419,548
"otage";-0,207;2637,55;-78,003;-5,533;-15,063;-74,57;-46,114;-88,169
"solution";1,059;2,317;107,699;-2,296;-2,689;-0,703;-1,937;-66,292
"important";-1,112;-2,063;5,049;-0,538;-12,339;82,812;-0,247;-55,314
"chance";-2,332;-9,633;19,02;-0,482;-3,828;5,556;-19,975;0,668
"emji_pouce_vers_le_haut";-3,706;-18,747;-38,671;-1,901;-8,672;-43,541;-10,73;429,085
"recevoir";-2,258;-0,207;24,997;-2,296;-0,014;3,061;-1,937;-17,948
"base";1,009;-2,221;13,32;-0,455;-4,743;-3,519;126,522;-76,276
"main";95,029;1,058;5,825;0,463;-0,667;3,69;-7,794;-25,619
"haut";-2,245;-11,609;36,063;-3,767;3,729;-0,452;4,475;-21,31
"occuper";-3,97;19,509;5,173;-0,035;-13,195;49,021;-7,794;-54,313
"image";-4,022;1,809;-5,858;-3,767;-4,569;2,282;41,373;-8,985
"extrême";-3,89;5,561;-12,639;-5,441;-3,154;-31,772;527,94;-81,584
"début";-0,993;-1,098;-2,623;-1,177;-1,921;-0,025;97,608;-17,948
"suivre";-2,221;1,921;-0,182;-0,402;-11,511;5,757;53,759;-41,759
"faute";-2,11;-4,225;-7,215;-0,328;-3,116;47,461;84,171;-76,396
"argument";-3,877;-1,56;-7,991;-0,328;0,002;-19,045;455,748;-76,396
"naître";-0,202;-0,534;-20,174;-2,184;3,154;67,074;-14,143;-0,269
"étude";-3,851;-25,605;35,722;-2,073;-7,743;-5,586;200,858;-83,148
"tomber";-2,172;-4,539;-1,308;1,286;0;71,663;-0,331;-27,947
"justice";-2,11;554,783;-14,527;-2,105;-6,462;-0,376;-2,711;-67,092
"effet";-0,876;-10,663;96,69;-0,328;-0,532;-0,003;0,304;-48,367
"augmenter";-3,759;-12,644;720,426;-5,257;-12,297;-50,476;-31,135;-83,505
"archive";-3,956;-20,621;-66,188;-2,2;-6,756;-52,707;-3,129;485,169
"long";-0,176;-4,225;0,476;-0,018;-5,213;93,466;-2,183;-39,285
"étranger";-3,811;-0,309;107,277;-0,962;-3,887;-8,066;19,584;-74,852
"contraire";-2,135;0,278;-3,089;-0,022;-2,337;1,968;116,256;-56,905
"sécurité";-3,811;10,945;197,292;-0,289;-9,097;-2,956;-11,688;-84,748
"semaine";-3,745;-6,337;53,496;-0,901;-1,272;12,359;-1,602;-41,806
"maladie";-1,988;-26,877;538,172;2,994;-10,467;-29,038;-22,145;-70,935
"facile";1,296;-2,678;0,521;-2,089;-5,167;14,985;33,943;-46,19
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";-3,284;-25,467;-63,5;-4,593;-14,209;-64,251;-37,891;745,258
"policier";-3,679;69,181;-9,892;-3,305;-0,641;24,928;6,186;-64,779
"journaliste";-3,64;28,077;-30,62;-1,823;-0,245;0,01;36,75;-4,154
