"";"";"";"";"vous";""
"219";"extra";"-1.02560083391844";"-0.0311938996099168";"0.805693167594406";"372"
"220";"cinq";"0.159457707542898";"-0.539510520662061";"0.805374460266326";"373"
"221";"tien";"0.0961986335007195";"-0.128379538527998";"0.805115367258606";"375"
"222";"auparavant";"0.00940759634002672";"0.0144944650991366";"0.804879202835641";"377"
"223";"1980";"-0.691169326661096";"-0.0947143574562238";"0.80487461711869";"378"
"224";"mouais";"0.127758294510141";"-0.606513850423743";"0.804532981205856";"381"
"225";"bof";"-0.285899490066056";"-0.428248192123124";"0.80449629547025";"382"
"226";"1961";"-1.28603113747882";"0.0835028677773357";"0.804464195451594";"385"
"227";"jusque";"0.323728769093597";"-0.186058180823462";"0.804436681149889";"386"
"228";"63";"0.380178603331242";"-0.771154802360793";"0.804335795376972";"387"
"229";"1970";"-0.680360188702497";"0.223953526345943";"0.803881809398844";"388"
"230";"parce";"0.168520365165784";"0.0902335956435201";"0.803705259296238";"389"
"231";"autrefois";"0.113131262458866";"-0.229717106718974";"0.803677744994534";"390"
"232";"tintin";"-1.42245639467493";"0.142043927014442";"0.803038037479898";"391"
"233";"1960";"-0.899685181765428";"0.243244743724219";"0.802923394556129";"393"
"234";"ô";"-1.27576101838711";"0.174606391623882";"0.802792701623031";"394"
"235";"1979";"-1.16977056873233";"-0.0191134393815711";"0.802792701623031";"395"
"236";"1977";"-1.16977056873233";"-0.0191134393815711";"0.802792701623031";"396"
"237";"1974";"-1.00537615936915";"-0.0456306160035761";"0.801458257990351";"397"
"238";"pouce";"-0.792186052436323";"0.477819134573167";"0.801458257990351";"398"
