"";"*rts_a";"*rts_i"
"story";10;7
"boomer";21;6
"excellence";6;8
"source";46;206
"emji_coeur_violet";57;18
"chéri";28;12
"légal";22;104
"sérieusement";22;68
"amalgame";10;7
"rarement";28;20
"soumettre";37;41
"annees";16;2
"lucidité";21;4
"particulièrement";29;10
"toucher";91;182
"personnel";54;144
"recherche";44;84
"honnête";22;46
"vice";7;11
"interdire";131;233
"perfection";12;4
"alcoolique";16;2
"cesse";15;35
"boire";69;57
"fond";120;97
"constamment";10;23
"verre";62;23
"intensité";4;9
"humanisme";4;9
"endroit";88;97
"ensemble";83;103
"discussion";19;49
"totalité";5;17
"emji_cent_points";35;12
"télévision";36;12
"remarquable";7;8
"briser";20;19
"glace";26;11
"craquer";10;3
"journalisme";8;44
"somme";16;31
"fumée";14;24
"cigarette";26;37
"mortel";7;24
"doux";93;28
"doc";14;3
"impossible";67;77
"abuser";28;47
"lucide";13;10
"sincère";42;28
"vin";44;49
"qualité";82;137
"forcément";68;116
"nu";33;28
"merveille";28;13
"conscience";61;101
"ressortir";12;16
"puissance";29;24
"appui";2;10
"fuite";9;26
"bouffe";27;14
"cf";5;29
"clé";15;27
"ressembler";97;55
"entretien";11;27
"bel";57;41
"exercice";33;14
"dépression";11;26
"tristesse";64;47
"psy";17;29
"générosité";10;3
"ouvrir";127;245
"appel";27;53
"clair";83;140
"pépite";52;4
"solitude";22;30
"interroger";26;23
"respectueux";60;42
"souligner";14;29
"livrer";13;13
"empathie";18;51
"comble";5;8
"facilité";6;26
"élocution";42;0
"instruit";11;5
"probablement";52;77
"conseiller";30;99
"consulter";13;27
"emji_visage_qui_fait_un_câlin";161;34
"sincérité";8;3
"douleur";17;21
"saluer";7;15
"franc";141;110
"profond";27;33
"concurrence";16;20
"vincent";15;13
"inventeur";10;2
"carré";12;9
"délicieux";14;2
"second";28;14
"dimension";8;12
"privé";44;153
"ouïr";6;4
"goûter";17;20
"intérieur";45;46
"caractère";16;9
"certe";7;6
"allah";18;10
"dépendre";71;80
"divin";17;8
"prévenir";10;25
"intime";42;6
"physiquement";15;14
"seconde";54;54
"albert";10;4
"théorie";21;45
"réel";65;167
"paraître";58;69
"possession";9;10
"ironie";11;28
"mâle";12;8
"apparaître";24;29
"cruauté";6;7
"meurtre";5;31
"légalement";1;11
"violent";37;118
"violeur";3;17
"psychologie";5;6
"élément";15;47
"perturbateur";7;4
"prédateur";18;11
"sexuel";28;37
"créer";143;304
"appareil";18;14
"contacter";7;21
"autrement";32;51
"concept";35;53
"indicateur";3;8
"enterrer";16;16
"emji_visage_avec_bandage_autour_de_la_tête";9;2
"emji_biceps_contracté";83;118
"précurseur";11;0
"pain";81;84
"chocolat";50;25
"description";6;21
"suite";118;130
"machine";50;58
"infernal";7;3
"exceptionnel";65;22
"redonner";10;16
"auto";29;29
"détruire";80;188
"grand_papa";16;1
"passionner";18;5
"apporter";56;107
"curieux";36;21
"forêt";45;34
"couvrir";18;67
"z";30;16
"emji_visage_blasé";32;31
"texte";32;43
"auteur";7;26
"jaloux";23;17
"charles";13;3
"daniel";16;2
"simon";10;1
