"";"X.rts_a";"X.rts_i"
"emji_visage_qui_pleure_à_chaudes_larmes";2,24;1,36
"wsh";0,06;0
"vrmt";0,03;0,04
"veille";0,05;0,03
"signe";0,12;0,14
"hauteur";0,1;0,1
"précision";0,11;0,07
"tjr";0,05;0,07
"loto";0,03;0,01
"mo";0,02;0,02
"mdr";0,83;0,64
"typiquement";0,05;0,01
"père";1,16;0,25
"fois";1,94;2,29
"jouer";2;0,69
"hahahaha";0,05;0,03
"intervention";0,05;0,2
"présent";0,23;0,27
"satisfaire";0,11;0,07
"connerie";0,19;0,26
"présenter";0,24;0,33
"insta";0,13;0,13
"tort";0,12;0,11
"men";0,02;0,04
"mdrr";0,12;0,06
"porte";0,47;0,5
"malheur";0,05;0,04
"perso";0,49;0,33
"bonheur";0,76;0,15
"janvier";0,05;0,05
"emji_poignée_de_main";0,1;0,1
"bernard";0,14;0,07
"lunette";0,2;0,05
"soleil";0,43;0,11
"protéger";0,32;0,97
"profondeur";0,03;0,02
"diversité";0,05;0,06
"attitude";0,05;0,04
"facile";0,48;0,63
"emji_ok_peau_légèrement_mate";0,03;0,03
"refaire";0,22;0,13
"interview";0,36;0,07
"passionnant";0,05;0,03
"envisager";0,02;0,05
"auprès_de";0,05;0,07
"avis";0,49;0,8
"esprit";0,5;0,3
"nostalgie";0,35;0,01
"état";0,48;2,33
"catastrophique";0,05;0,07
"normalement";0,09;0,09
"scandaleux";0,03;0,19
"tiers";0,05;0,07
"what";0,05;0,04
"innocent";0,1;0,31
"2e";0,04;0,04
"réparer";0,02;0,05
"traumatisme";0,08;0,04
"terrible";0,22;0,12
"cacher";0,23;0,51
"développer";0,18;0,24
"1ere";0,05;0,02
"main";0,62;0,57
"méthode";0,28;0,15
"emji_visage_étourdi";0,09;0,03
"emji_visage_qui_rougit";0,39;0,21
"qd";0,16;0,02
"violer";0,04;0,17
"bébé";0,2;0,2
"réflexe";0,02;0,04
"naturel";0,65;0,21
"balancer";0,1;0,18
"choquer";0,45;0,21
"moyen";0,53;1,26
"cool";0,33;0,23
"fille";1,54;0,32
"nageur";0,04;0
"tôt";0,16;0,15
"film";0,39;0,27
"résumé";0,12;0,07
"rapport";0,6;0,94
"association";0,12;0,18
"plainte";0,01;0,05
"cul";0,27;0,13
"enlever";0,21;0,33
"gosse";0,38;0,17
"rythme";0,1;0,1
"doré";0,04;0,01
"chalet";0,06;0,04
"emji_biceps_contracté_peau_légèrement_mate";0,05;0,09
"emji_biceps_contracté_peau_moyennement_claire";0,09;0,11
"noyer";0,02;0,04
"aîné";0,07;0,03
"cours";0,73;0,56
"répéter";0,21;0,26
"objectif";0,09;0,27
"atteindre";0,14;0,42
"preuve";0,38;0,54
"vivant";0,47;0,28
"inutile";0,22;0,3
"peur";0,61;0,65
"océan";0,02;0,04
"également";0,52;0,73
"marin";0,02;0,02
"participer";0,2;0,42
"spécialiste";0,05;0,08
"barbare";0,02;0,03
"confondre";0,1;0,27
"poisson";0,16;0,06
"emji_visage_boudeur";0,61;1,02
"condamner";0,07;0,39
"insécurité";0,01;0,09
"naissance";0,12;0,09
"phénomène";0,1;0,13
"moteur";0,15;0,04
"qq";0,09;0,03
"imposer";0,15;0,47
"propre";0,73;0,8
"idiot";0,11;0,04
"technique";0,21;0,11
"jeter";0,21;0,26
"nager";0,04;0,01
"flotte";0,05;0,01
"parfaitement";0,2;0,18
"mode";0,75;0,39
"terrifiant";0,05;0,02
"bateau";0,06;0,15
"mer";0,1;0,09
"env";0,02;0,04
"violence";0,36;1,37
"brutal";0,05;0,05
"liquide";0,07;0,03
"instruire";0,06;0,01
"arrêt";0,09;0,2
"emji_singe_ne_rien_voir";0,35;0,17
"bb";0,05;0,07
"traumatiser";0,1;0,03
"seul";1,96;2,21
"grandir";0,2;0,12
"buzz";0,01;0,04
"renoncer";0,03;0,05
