"";"";"";"";"emji_visage_souriant_avec_coeurs";""
"261";"semaine";"-0.204672485245713";"-0.124994792851961";"0.820493044605513";"475"
"262";"société";"-0.448422613598467";"0.183730316704812";"0.820491318798501";"476"
"263";"red";"-0.366845406396402";"-0.010259659422894";"0.820402998086708";"477"
"264";"avortement";"-0.483759696390106";"0.66237176862761";"0.820402998086708";"478"
"265";"absolument";"-0.172086238388631";"0.164294768368388";"0.820330108119964";"479"
"266";"instagram";"-0.482825357603893";"0.0571762547678129";"0.820262091020077";"480"
"267";"jeunesse";"0.731795102959352";"-0.337025775199893";"0.820211839580609";"482"
"268";"formidable";"3.10638222411998";"1.1287763859236";"0.819665672420326";"485"
"269";"regarder";"-0.144593781395996";"-0.239883884600621";"0.81961927866712";"486"
"270";"emji_mains_qui_forment_un_coeur_peau_claire";"3.18704033550951";"1.1778288217614";"0.819550652458876";"488"
"271";"trouver";"-0.259671010318156";"-0.170880588187159";"0.81948689911749";"489"
"272";"relire";"-0.372630330851919";"0.182634508034924";"0.819482838395108";"490"
"273";"emji_coeur_bleu";"4.16658696092872";"1.64217718412209";"0.819449032881284";"491"
"274";"apprentissage";"-0.118163537510599";"-0.432040047455292";"0.819424262474758";"492"
"275";"information";"-0.436585028707166";"0.425664835323772";"0.819361727350087";"494"
"276";"heure";"0.0616760867385456";"-0.205488500602538";"0.819326500583429";"495"
"277";"exactement";"-0.0459887196509711";"0.0159193535871253";"0.819301121068546";"496"
"278";"emji_visage_avec_lunettes_de_soleil";"2.60435973974471";"0.758976484162431";"0.819063061218943";"498"
"279";"emji_tête_de_fou";"0.611910253759451";"-2.41281536874637";"0.818953320196589";"499"
"280";"etait";"0.222844252710285";"-0.316648984934936";"0.81884033059633";"501"
"281";"justement";"-0.513094918706559";"0.188105075866275";"0.818771298315848";"503"
"282";"fumer";"0.00276468917688958";"-0.857067565002962";"0.818749573451108";"504"
"283";"livre";"-0.268418052096731";"0.108272571467862";"0.818614858986109";"506"
"284";"extraordinaire";"3.23807460710811";"1.27978116225297";"0.818575368460951";"507"
"285";"insulter";"-0.374545919204445";"0.0329329905390037";"0.818347054345063";"509"
"286";"masculin";"-0.177192852868985";"-0.026149115084235";"0.818263504982068";"510"
"287";"emji_partition";"3.94689184653161";"1.55805079692307";"0.818250409152388";"511"
"288";"scientifique";"-0.511196366699491";"0.0651314005205428";"0.818246551466126";"512"
"289";"hygiène";"0.377124042732749";"-2.76239783838788";"0.818227263034815";"513"
"290";"décéder";"0.128771254868577";"-0.270924051696721";"0.818226653926458";"514"
"291";"hétéro";"-0.294892297189689";"-0.0798885022986247";"0.818115390133211";"515"
"292";"sûr";"-0.286758388495612";"-0.155415472227581";"0.818114577988734";"516"
"293";"emji_singe_ne_rien_voir";"0.610360779988297";"-2.68229918926567";"0.818062093151956";"517"
"294";"prouver";"-0.531644906577112";"0.396439411683461";"0.817811952653269";"518"
"295";"instituteur";"0.268715628600223";"-0.284209626061923";"0.817636326410279";"520"
"296";"plaisir";"0.391486322416199";"-0.202469656369549";"0.817548310252664";"521"
