"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"éduquer";1;1;1;1;1;0;0,327;1
"ya";1;1;0,153;1;1;0;1;0,221
"offrir";1;1;0,373;1;1;1;0;1
"emji_chat_souriant_aux_yeux_en_coeurs";0;1;0,116;1;1;1;1;1
"détruire";1;1;0;1;0,002;0,942;0,388;1
"comparer";1;1;1;1;0,688;0;1;1
"chou";0;1;1;1;1;1;1;1
"bcp";1;0,114;1;1;0,996;1;0;1
"réalité";1;1;1;1;0;0;1;1
"plaire";1;1;1;1;1;0;1;1
"papier";1;0;0,587;0,344;1;1;1;1
"pain";1;1;0;1;1;1;1;0,333
"grave";1;1;1;1;0,431;0;1;1
"euro";1;1;1;1;1;1;1;0
"ensemble";1;1;1;1;0,39;0,659;0;1
"arbre";1;1;0;1;1;1;1;1
"suffire";1;0,801;1;1;0,688;1;0;1
"jean";1;0,728;1;1;1;1;1;0
"humanité";1;1;0,338;1;0;1;1;1
"féminin";1;0,691;1;1;1;0,006;0;1
"foot";1;1;1;1;1;1;0;0,049
"finalement";1;1;0,017;1;0;0,981;0;1
"emji_visage_avec_un_sourire_malin";1;0,278;1;1;0,867;0;1;1
"amuser";0;1;1;1;1;0,735;1;1
"accepter";1;1;1;1;0;0,11;0,613;1
"salle";1;0;1;1;1;1;1;1
"mamie";0;1;0,003;1;1;1;1;1
"forme";1;1;0,631;1;0,006;0,006;0,954;1
"emji_visage_pensif";0,004;1;0,957;1;1;1;0;1
"emji_visage_avec_lunettes_de_soleil";0;1;1;0,999;1;1;1;1
"cerveau";1;0,71;1;1;0,128;0;0,002;1
"résultat";1;1;1;1;0;0,102;0;1
"protéger";1;1;0,114;1;1;0,004;0,003;1
"intérêt";1;1;0,305;1;0,162;0;0,465;1
"face";1;1;1;1;0,92;0,001;0;1
"emji_visage_souriant_avec_une_larme";0,624;1;1;1;1;1;0;1
"doigt";1;0,728;1;1;0,945;0;1;0,585
"allemand";1;1;1;1;1;1;1;0
"vendre";1;1;0;1;0,018;1;0,001;1
"réflexion";1;1;1;1;0;0;1;1
"police";1;1;1;1;1;0,153;0;1
"passage";1;0;0,257;0,323;0,003;1;0;1
"nuit";1;1;0;1;1;1;0;1
"méchant";1;1;1;1;1;0;1;1
