"";"";"";"";"htag_cinemafrancais";""
"119";"htag_tradition";"0.717396943320525";"1.38416991414615";"0.82095491667339";"364"
"120";"force";"0.656518296646115";"1.19088260665098";"0.82095491667339";"366"
"121";"htag_happybirthday";"-0.22271981879432";"-0.248269470160004";"0.82095491667339";"367"
"122";"htag_vintage";"0.874135084513337";"-0.0987157275944183";"0.820313942751616";"368"
"123";"htag_tabac";"0.706943178714615";"0.682287643483109";"0.820313942751616";"369"
"124";"1963";"0.24617696371195";"0.0372917470167874";"0.820313942751616";"370"
"125";"donc";"0.887832508761404";"-0.0745051666919612";"0.820313942751616";"371"
"126";"htag_archives";"0.572006962795049";"0.57124700721328";"0.820284359339842";"372"
"127";"1988";"0.685486621828014";"-0.923040976286986";"0.819929358398551";"373"
"128";"attention";"0.44842470986316";"0.262017434284043";"0.819870191575003";"375"
"129";"croire";"1.16536631919914";"-1.03432183641985";"0.819672968829842";"376"
"130";"quels";"0.889091492844002";"0.161381867645283";"0.819672968829842";"377"
"131";"pis";"0.0708417839542464";"0.158080942441754";"0.819672968829842";"378"
"132";"htag_paysan";"0.0468718438371598";"0.0539367223604118";"0.819672968829842";"379"
"133";"quelque";"0.437370790882107";"0.700061504318318";"0.819623663143551";"381"
"134";"cette";"0.194687917008536";"-0.0334621339472742";"0.819544774045487";"382"
"135";"elles";"0.160379513504231";"-0.198938961897503";"0.819525051770971";"383"
"136";"ça";"0.392926256151218";"-0.0341946106034965";"0.819505329496454";"384"
"137";"falloir";"0.528571271339626";"0.53048639737882";"0.818657271692261";"386"
"138";"très";"0.0683896243756603";"0.444082775120222";"0.816399071260164";"387"
"139";"htag_switzerland";"0.575509071591711";"0.415353233155597";"0.816270876475809";"388"
"140";"1994";"-0.230301826840719";"-0.0550100745446473";"0.815994764632583";"390"
"141";"celles";"0.392002124308155";"-0.519221012093225";"0.815994764632583";"391"
"142";"htag_suisseromande";"0.236456973493127";"0.358263519760204";"0.815994764632583";"393"
"143";"htag_culte";"-0.111619722124759";"0.849666497854651";"0.815077678867583";"395"
"144";"être";"0.289454894855826";"0.00300064393844947";"0.814801567024357";"396"
"145";"savoir";"0.346731107837448";"0.192375749689768";"0.814525455181131";"397"
"146";"trop";"0.813353054444841";"-0.237082886014255";"0.814495871769357";"398"
"147";"contre";"0.241323005577867";"0.469539875396413";"0.813992953769196";"399"
"148";"htag_game";"0.768751428072687";"0.738470972496979";"0.813756286475002";"401"
"149";"htag_swisscheese";"0.281827465166408";"1.05525259694708";"0.813756286475002";"402"
"150";"htag_swissfood";"-0.242317457172124";"0.994899480350168";"0.813756286475002";"403"
"151";"parfois";"0.882998108744466";"0.0182469691943021";"0.813736564200486";"404"
"152";"dont";"-0.123245994152405";"0.334745770206198";"0.813736564200486";"405"
"153";"alors";"0.248494250674962";"0.0238368030079968";"0.813598508278873";"406"
"154";"htag_chanson";"0.937928196380545";"0.240296463086607";"0.813499896906292";"407"
"155";"htag_sport";"-0.0270393699362297";"0.157722783754737";"0.813302674161131";"408"
"156";"htag_armee";"0.461005599040182";"-0.393636898743654";"0.813302674161131";"409"
"157";"1984";"-0.268615943270959";"0.623754206867643";"0.813302674161131";"410"
"158";"rien";"0.74896245295815";"0.0915120018181273";"0.81279975616097";"411"
"159";"htag_cff";"0.575140339315193";"1.3847645083955";"0.812079893141131";"413"
"160";"htag_train";"0.575140339315193";"1.3847645083955";"0.812079893141131";"415"
"161";"htag_kid";"0.615090239510338";"1.55833820853107";"0.812079893141131";"416"
"162";"au_dessus";"0.616138960628216";"0.610426089916094";"0.812079893141131";"418"
"163";"htag_soldat";"0.616138960628216";"0.610426089916094";"0.812079893141131";"419"
"164";"2022";"0.656088860823361";"0.783999790051665";"0.812079893141131";"420"
"165";"75";"0.797882277967591";"-0.299234725283551";"0.812079893141131";"421"
"166";"htag_vigneron";"0.656088860823361";"0.783999790051665";"0.812079893141131";"422"
"167";"1965";"-0.0584306954583949";"-0.911227061633319";"0.810965584630969";"425"
"168";"24";"-0.202403187686466";"0.653937458336878";"0.810936001219195";"426"
"169";"90";"0.413406808296577";"-0.747901548926459";"0.810659889375969";"428"
"170";"malgré";"0.193801436490738";"-0.685619075346633";"0.810650028238711";"430"
"171";"htag_summertime";"1.09420858421816";"-0.38839098583355";"0.810650028238711";"431"
"172";"htag_jeunesse";"-0.150453993466095";"0.426170598539674";"0.810472527768066";"432"
"173";"pas";"0.38907173782244";"0.142164730140733";"0.809910442944356";"433"
"174";"htag_innovation";"0.34155643050339";"0.0705825405030209";"0.809259607885324";"434"
"175";"aussi";"0.405298931246483";"-0.333683664014798";"0.808796134434195";"436"
"176";"htag_retro";"0.753443319223863";"0.172490878795557";"0.80866793964984";"437"
"177";"dire";"0.508222353170315";"0.150324614288101";"0.80866793964984";"438"
"178";"qu";"0.320944153533845";"0.13386370419729";"0.808638356238066";"439"
"179";"1987";"0.218478884519039";"0.353345471423422";"0.808283355296775";"440"
"180";"1967";"0.0216930244594945";"-0.439745946025873";"0.808283355296775";"441"
"181";"htag_breakdance";"-0.340889316310703";"0.987271200546026";"0.808135438237904";"442"
"182";"htag_stress";"0.838691049808244";"0.688104608050639";"0.808135438237904";"443"
"183";"htag_raclette";"0.942101526469759";"-0.168140290917853";"0.808135438237904";"444"
"184";"celle";"-0.199095899166473";"-0.09596331478919";"0.808135438237904";"445"
"185";"2006";"-0.340889316310703";"0.987271200546026";"0.808135438237904";"446"
"186";"lequel";"-0.340889316310703";"0.987271200546026";"0.808135438237904";"447"
"187";"htag_smoke";"0.838691049808244";"0.688104608050639";"0.808135438237904";"449"
"188";"htag_leysin";"0.800308109325529";"0.915094224417363";"0.808135438237904";"450"
"189";"htag_chanteur";"-0.380839216505848";"0.813697500410456";"0.808135438237904";"451"
"190";"htag_alpage";"-0.340889316310703";"0.987271200546026";"0.808135438237904";"452"
"191";"certain";"-0.277428739844332";"-0.0425473985580368";"0.808135438237904";"453"
"192";"htag_chorale";"0.737896253977037";"0.997000704906448";"0.807859326394679";"455"
"193";"partout";"-0.261507754514965";"-0.0140568343001045";"0.807859326394679";"456"
"194";"htag_temoignage";"-0.339840595192824";"0.0393590819310488";"0.807859326394679";"457"
