"";"";"";"";"htag_metier";""
"105";"htag_phone";"-0.454527890397022";"0.654423025590605";"0.815904769777631";"298"
"106";"htag_animaldecompagnie";"-0.454527890397022";"0.654423025590605";"0.815904769777631";"299"
"107";"2001";"-0.491270401523246";"0.586315258752711";"0.815904769777631";"300"
"108";"htag_sun";"-0.497128161433554";"0.645628062999818";"0.815904769777631";"301"
"109";"htag_sms";"-0.497128161433554";"0.645628062999818";"0.815904769777631";"302"
"110";"htag_skinautique";"-0.497128161433554";"0.645628062999818";"0.815904769777631";"303"
"111";"htag_courseapied";"-0.497128161433554";"0.645628062999818";"0.815904769777631";"304"
"112";"htag_course";"-0.371081289043107";"-1.00151303512729";"0.815904769777631";"305"
"113";"htag_waterski";"-0.497128161433554";"0.645628062999818";"0.815904769777631";"307"
"114";"htag_sdf";"-0.491270401523246";"0.586315258752711";"0.815904769777631";"308"
"115";"htag_grevedesfemmes";"-0.497128161433554";"0.645628062999818";"0.815904769777631";"310"
"116";"htag_autoroute";"-0.491270401523246";"0.586315258752711";"0.815904769777631";"312"
"117";"quelle";"-0.498398554232729";"0.976314858163541";"0.81585517070348";"313"
"118";"htag_fondue";"-0.504749629021973";"0.750408238234908";"0.81585517070348";"314"
"119";"htag_chien";"-0.473118852906266";"0.808523171601757";"0.81585517070348";"315"
"120";"1973";"-0.503387322294129";"0.992793049118789";"0.81585517070348";"316"
"121";"je";"-0.431538862879721";"0.398451306718127";"0.815784905348434";"317"
"122";"htag_retro";"-0.475644947945865";"0.383057917803634";"0.815727039761925";"318"
"123";"1984";"-0.405571702359276";"0.172525452351472";"0.815669174175415";"319"
"124";"eux";"-0.429949915114217";"0.811026378859773";"0.815669174175415";"320"
"125";"htag_chorale";"-0.315109190809332";"-0.480240383206591";"0.81532611391254";"330"
"126";"hors";"-0.408734198363752";"0.941487345141552";"0.81532611391254";"331"
"127";"htag_lune";"-0.435298303289471";"1.10758791067341";"0.81532611391254";"332"
