"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"organiser";-0,317;-0,942;-0,473;1,022;0,539;-0,317;4,51;-0,907;0
"oeuvre";-0,317;-0,942;-0,473;-0,428;0,539;-0,317;0,454;0,086;1,302
"nyon";-0,19;16,024;-0,283;-0,257;-0,339;-0,19;-0,36;-0,543;-0,739
"nu";-0,19;-0,564;-0,283;2,695;1,783;-0,19;-0,36;-0,543;0,351
"notamment";-0,381;-1,132;4,683;0,646;0,284;1,243;0,224;-1,089;-1,482
"neuchâtel";1,243;0,003;4,683;-0,514;-0,679;-0,381;-0,723;0,009;-0,036
"méthode";-0,317;-0,942;0,827;1,022;-0,565;1,778;-0,602;2,363;-1,234
"moyen";-0,317;-0,942;0,827;7,162;-0,565;-0,317;-0,602;0,086;0
"mouvement";-0,381;-1,132;0,497;-0,514;0,284;1,243;-0,723;1,513;-0,036
"moniteur";-0,317;-0,942;-0,473;36,083;-0,565;-0,317;-0,602;-0,907;0
"militaire";-0,253;0,255;-0,378;-0,342;0,978;2,612;-0,481;0,291;-0,987
"micro";-0,381;5,3;-0,568;0,646;-0,679;-0,381;0,224;-1,089;-0,036
"message";-0,317;-0,942;-0,473;-0,428;-0,565;10,433;4,51;-0,907;0
"mauvais";-0,317;2,21;0,827;1,022;-0,565;-0,317;-0,602;-0,907;0
"marquer";-0,381;5,3;-0,568;-0,514;0,284;1,243;-0,723;-1,089;-0,036
"mari";-0,381;-1,132;-0,568;-0,514;-0,679;-0,381;19,762;1,513;-1,482
"malade";-0,381;-1,132;-0,568;-0,514;-0,679;-0,381;33,286;-1,089;-0,036
"mai";-0,381;-1,132;-0,568;0,646;0,284;1,243;3,232;0,009;-1,482
"magasin";-0,381;-1,132;-0,568;-0,514;0,284;-0,381;-0,723;12,277;-0,036
"langue";-0,381;1,393;-0,568;0,646;-0,679;-0,381;3,232;0,009;-1,482
"kilomètre";-0,317;-0,942;6,285;1,022;-0,565;1,778;-0,602;-0,907;0
"juillet";2,612;10,57;-0,378;-0,342;-0,452;-0,253;-0,481;-0,725;-0,987
"internet";-0,381;-1,132;-0,568;-0,514;-0,679;1,243;0,224;5,602;-0,036
"inspirer";-0,317;2,21;-0,473;-0,428;-0,565;-0,317;0,454;2,363;-1,234
"info";95,55;-1,132;-0,568;-0,514;-0,679;-0,381;-0,723;-1,089;-1,482
"incroyable";-0,381;1,393;-0,568;-0,514;3,574;1,243;-0,723;-1,089;-0,036
"importer";-0,253;-0,753;-0,378;1,628;-0,452;-0,253;6,485;0,291;-0,987
"immense";4,043;0,695;-0,283;-0,257;-0,339;-0,19;1,612;-0,543;-0,739
"heureux";-0,253;-0,753;-0,378;-0,342;-0,452;-0,253;-0,481;3,729;2,321
"heureusement";1,778;-0,942;0,827;7,162;-0,565;-0,317;-0,602;-0,907;0
