"";"X.rts_a";"X.rts_i"
"féminicides";-1,416;1,416
"viable";-0,6115;0,6115
"emji_pouce_vers_le_haut";5,2917;-5,2917
"rôle";-0,5934;0,5934
"charger";-2,2684;2,2684
"communication";0,3366;-0,3366
"tradition";0,7523;-0,7523
"batterie";4,3181;-4,3181
"g";0,6092;-0,6092
"jet";-0,4382;0,4382
"pain";0,3151;-0,3151
"citer";0,3183;-0,3183
"crème";6,5176;-6,5176
"restaurateur";-0,7806;0,7806
"manquer";-0,2912;0,2912
"bcp";-0,2454;0,2454
"remettre";-0,6131;0,6131
"emploi";-5,0319;5,0319
"plein";0,7832;-0,7832
"moral";0,6092;-0,6092
"emji_visage_retenant_ses_larmes";2,3505;-2,3505
"saint";1,0782;-1,0782
"marier";1,4377;-1,4377
"griller";0,6378;-0,6378
"bain";3,668;-3,668
"touriste";-0,7806;0,7806
"parent";0,5464;-0,5464
"enfant";-2,1527;2,1527
"peinture";-0,341;0,341
"goût";0,2645;-0,2645
"histoire";0,6674;-0,6674
