madame;0;0;0;2;2;0;5;0;0;1;0;0;0;0;0;0;0;4;1;0;0;0
htag_vacances;0;2;0;1;0;1;2;1;1;0;0;0;3;0;0;0;0;1;1;0;0;0
htag_love;0;1;0;1;3;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
htag_lausanne;0;0;0;0;1;2;1;1;2;0;0;0;5;0;0;1;0;2;0;0;0;0
beaucoup;0;0;0;1;0;1;3;0;0;0;1;0;0;0;0;1;1;2;0;0;3;0
attention;0;2;0;1;2;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0
300;0;0;1;0;0;0;0;1;0;1;2;0;1;0;0;1;3;0;0;1;1;4
19;0;0;0;0;1;0;0;0;0;0;0;1;0;1;3;1;2;0;1;2;2;1
parfois;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;3;1;3;1
htag_valais;0;1;0;0;1;0;2;1;1;0;0;0;2;0;0;0;0;2;0;0;0;1
htag_ski;0;0;0;0;1;0;1;0;0;0;0;0;13;0;0;0;0;2;0;0;0;0
htag_microtrottoir;0;1;0;6;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0
gare;0;0;1;0;1;0;1;1;0;0;0;1;2;0;0;3;0;0;0;0;0;0
90;0;0;0;0;2;1;2;0;0;0;1;0;3;1;0;0;0;1;1;2;1;1
9;0;0;1;0;1;1;2;0;0;0;0;0;0;2;0;1;1;0;0;3;0;1
2022;0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;3;0;1
ni;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;2;0;1;1;0
17;0;0;0;0;0;0;1;1;1;0;1;0;1;1;3;1;0;0;2;1;1;1
or;1;0;0;0;0;1;0;1;0;0;2;0;2;1;2;0;0;0;0;0;0;0
mal;0;1;0;1;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;2;2;2
htag_jeunesse;0;0;0;2;1;2;1;0;1;1;0;0;0;0;0;0;0;2;3;0;0;0
htag_hiver;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;1;0;0;1;0
htag_femme;0;0;0;1;3;1;1;0;1;0;0;0;0;0;0;0;0;2;1;0;0;3
derrière;0;1;1;0;2;0;0;0;1;0;1;0;0;0;2;0;1;0;0;0;3;0
tandis_que;0;0;0;0;0;0;0;0;0;2;1;0;0;0;3;1;0;0;0;6;1;0
près;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;3;1;2
pourtant;1;1;0;1;0;5;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
point;3;0;0;1;1;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0
là;0;1;0;1;0;0;4;0;0;1;0;1;1;0;0;0;0;2;0;0;2;0
