"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"plan";-0,68;-0,793;7,055;-0,807;-1,302;-0,836;-1,228;0,148;-1,317;-0,666;41,81;-0,95;-0,048;-0,836;-0,965;-0,807;11,404;-0,994;-0,736;-0,004;-0,043;0,95
"pari";-0,44;-0,513;-0,513;-0,522;-0,843;0,48;-0,795;5,627;-0,852;-0,431;-0,643;0,316;1,924;-0,541;0,299;-0,522;0,316;3,374;-0,476;0,146;0,058;0,166
"journaliste";-0,818;-0,954;0,011;4,973;0,226;0,003;-0,108;-0,869;1,74;0,077;-1,196;-0,006;-0,169;-1,006;-1,161;-0,971;0,846;0,732;12,479;-0,065;-0,16;-1,336
"israélien";-0,68;-0,793;-0,793;-0,807;-1,302;-0,836;-1,228;-0,722;-1,317;-0,666;-0,994;1,442;-1,332;-0,836;-0,965;-0,807;346,272;-0,994;-0,736;-1,14;-1,317;-1,11
"habitant";-0,818;-0,954;0,011;0,007;-1,567;-1,006;-0,108;0,039;-1,585;2,1;-1,196;-1,144;-1,603;4,673;-0,008;4,973;0,846;-0,014;0,031;0,438;-1,585;12,107
"décision";-0,818;-0,954;0,011;-0,971;-1,567;-1,006;-1,478;-0,869;-1,585;2,1;32,813;23,985;-1,603;-1,006;-0,008;0,007;0,846;-1,196;-0,886;-0,065;0,211;-0,052
"cinéma";-0,749;-0,873;-0,873;0,031;10,954;61,599;-0,057;-0,795;-1,451;-0,733;-1,095;-1,047;-1,467;-0,921;17,005;-0,889;-1,047;-0,001;0,071;-1,255;-1,451;-1,223
"campagne";-0,714;-0,833;0,058;0,05;-0,061;0,036;-1,29;-0,759;-1,384;0,173;0;1,265;-1,4;-0,878;-1,014;1,873;0,004;0;0,099;3,391;11,645;-1,167
"accueillir";-0,749;-0,873;-0,873;-0,889;-1,434;0,02;-1,353;2,143;0,347;-0,733;-1,095;9,79;-1,467;5,492;4,251;0,031;1,108;0,976;-0,811;-0,027;-0,095;-1,223
"voyage";-0,474;-0,553;-0,553;-0,563;-0,908;3,959;0,054;-0,504;0,027;0,72;0,193;0,234;-0,929;-0,583;-0,673;-0,563;3,174;-0,693;13,412;-0,795;0,027;0,109
"risque";-0,646;-0,753;-0,753;-0,766;0,683;-0,793;-1,166;-0,686;-0,024;-0,632;0,015;0,028;-1,265;0,086;-0,916;-0,766;0,028;-0,944;-0,699;9,44;43,504;-1,054
"membre";0,09;-0,914;0,022;-0,93;-0,118;-0,963;-1,415;-0,832;-0,126;-0,767;0,847;4;-1,535;-0,963;0,927;1,5;9,094;-1,145;-0,848;6,744;-0,126;-0,034
"important";-0,714;-0,833;1,947;-0,848;-0,061;0,036;-1,29;-0,759;-1,384;0,173;1,123;10,556;-0,073;-0,878;0,002;23,064;-0,999;-1,044;-0,774;-0,013;-0,067;-0,008
"emji_gyrophare";-0,784;-0,914;0,022;-0,93;-1,501;-0,963;-1,415;-0,832;-1,518;-0,767;-0,006;0,969;-1,535;0,009;-1,112;60,71;0,969;-1,145;-0,848;19,966;-0,126;-0,034
"danse";-0,543;-0,633;-0,633;-0,644;0,001;-0,667;0,009;79,05;17,838;-0,531;-0,793;-0,758;1,12;-0,667;-0,77;-0,644;-0,758;-0,793;-0,588;-0,909;-1,051;-0,886
"causer";-0,508;-0,593;0,352;-0,603;-0,974;-0,625;-0,918;-0,54;-0,985;-0,498;0,135;0,169;-0,996;-0,625;-0,721;21,439;2,774;-0,743;-0,55;23,572;0,008;-0,83
"blanc";-0,543;-0,633;-0,633;-0,644;0,001;0,223;30,319;0,384;-1,051;-0,531;2,221;-0,758;1,12;0,223;-0,77;0,257;-0,758;-0,793;-0,588;-0,909;-1,051;0,037
"appeler";-0,714;-0,833;-0,833;-0,848;-0,061;-0,878;-0,036;-0,759;-1,384;-0,7;-1,044;1,265;-0,073;-0,878;-1,014;6,316;0,004;69,643;0,099;-0,013;-0,067;-1,167
"annonce";8,259;-0,833;1,947;-0,848;-0,061;-0,878;-1,29;-0,759;-1,384;0,173;0;4,783;-0,073;-0,878;28,325;-0,848;0,004;0;-0,774;-1,197;-0,067;-1,167
"édition";0,09;-0,914;-0,914;-0,93;-1,501;0,009;-1,415;6,478;9,959;-0,767;-0,006;-1,095;-1,535;19,399;36,069;-0,93;-1,095;-1,145;-0,848;-1,313;-1,518;-1,279
"toucher";-0,577;0,212;0,212;-0,685;-1,105;-0,709;-1,042;-0,613;-1,117;-0,565;6,49;0,079;-1,13;-0,709;-0,819;2,937;2,131;-0,843;-0,625;1,414;9,107;0,016
"participer";2,942;-0,793;0,085;-0,807;-0,039;0,057;-0,019;-0,722;-1,317;-0,666;0,005;0,013;-1,332;0,057;1,389;-0,807;-0,95;0,005;7,911;-1,14;0,537;3,956
"parler";-0,611;-0,713;-0,713;16,72;-1,171;0,122;-1,104;0,245;-0,01;0,333;-0,893;-0,854;-1,197;-0,751;-0,867;-0,726;0,049;21,811;9,322;0,002;-1,184;-0,998
"mener";-0,714;-0,833;-0,833;-0,848;-1,368;0,036;-1,29;-0,759;-1,384;-0,7;-1,044;0,004;-1,4;-0,878;-1,014;13,38;4,783;-1,044;-0,774;14,431;11,645;0,81
"manquer";-0,611;-0,713;8,363;0,147;-1,171;0,122;-0,001;0,245;0,797;0,333;-0,893;0,049;0,769;-0,751;-0,867;-0,726;-0,854;-0,893;-0,662;-1,024;14,928;-0,998
"manifestation";-0,646;-0,753;0,119;-0,766;-1,236;-0,793;-1,166;-0,686;-1,251;-0,632;0,015;33,008;-1,265;0,086;0,023;40,201;0,028;0,015;-0,699;0;-1,251;-1,054
"maison";-0,543;-0,633;-0,633;0,257;-1,039;-0,667;19,568;3,992;-1,051;-0,531;14,986;0,118;-1,063;-0,667;-0,77;0,257;-0,758;-0,793;0,36;0,027;-1,051;-0,886
"froid";-0,508;-0,593;3,825;-0,603;1,42;3,498;-0,918;-0,54;0,008;0,597;-0,743;-0,711;0,006;3,498;0,157;0,331;-0,711;0,135;-0,55;-0,852;0,008;-0,83
"effet";-0,714;-0,833;13,717;-0,848;-0,061;0,036;-1,29;0,112;-1,384;-0,7;-1,044;-0,999;-1,4;0,036;0,002;-0,848;0,004;-1,044;0,099;0,745;27,543;-0,008
"concerner";-0,611;-0,713;0,161;-0,726;-1,171;-0,751;-1,104;-0,649;-1,184;3,717;0,032;0,049;-1,197;-0,751;-0,867;-0,726;1,871;-0,893;-0,662;4,648;3,546;18,86
"choisir";-0,68;-0,793;2,173;-0,807;6,96;1,943;7,675;-0,722;-1,317;0,217;4,847;-0,95;-1,332;-0,836;-0,965;-0,807;-0,95;0,005;0,134;-0,004;-0,043;-1,11
"chat";-0,44;-0,513;-0,513;-0,522;-0,843;4,498;2,276;0,713;0,058;-0,431;-0,643;-0,615;-0,862;-0,541;-0,624;-0,522;-0,615;-0,643;0,679;16,838;1,97;-0,718
