"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"htag_enfant";-0,348;-0,447;-0,463;-0,397;19,847;-0,753;-0,316;-0,348;-0,667;0,906;0,372;-0,48;0,307;-0,381;-0,771;-0,316;-0,547;-0,649;-0,564;8,014;-0,718;0,698
"htag_ecole";-0,348;-0,447;-0,463;-0,397;9,842;-0,753;-0,316;-0,348;-0,667;0,906;-0,598;-0,48;-0,632;-0,381;-0,771;-0,316;-0,547;-0,649;0,448;42,768;-0,718;-0,48
"htag_culte";-0,284;-0,365;-0,378;-0,324;-0,544;-0,615;-0,257;-0,284;0,515;-0,351;-0,488;1,127;-0,516;-0,311;3,751;-0,257;-0,446;4,911;-0,46;0,327;4,2;-0,392
"htag_christmas";-0,348;0,831;-0,463;1,078;-0,667;-0,753;-0,316;-0,348;-0,667;-0,43;-0,598;-0,48;35,417;1,176;-0,771;-0,316;0,49;-0,649;-0,564;-0,771;-0,718;5,589
"20";-0,189;-0,242;-0,251;-0,215;1,386;-0,408;-0,171;-0,189;-0,361;-0,233;-0,324;13,067;-0,342;-0,206;-0,418;-0,171;-0,296;-0,352;1,859;1,044;-0,389;2,41
"1968";-0,284;1,301;-0,378;1,62;-0,544;-0,615;-0,257;-0,284;0,515;-0,351;-0,488;1,127;-0,516;-0,311;-0,629;-0,257;-0,446;0,554;0,791;-0,629;4,2;1,127
"1966";-0,316;-0,406;-0,421;-0,361;-0,605;3,206;1,996;-0,316;-0,605;1,124;4,677;-0,436;-0,574;-0,346;0,211;1,996;-0,497;-0,589;-0,512;0,211;-0,652;0,887
"000";-0,252;1,638;1,534;-0,288;0,718;-0,546;-0,228;-0,252;-0,483;-0,312;17,621;-0,348;0,814;-0,276;-0,558;-0,228;-0,396;-0,47;-0,409;-0,558;0,594;-0,348
"ni";-0,125;-0,161;-0,167;-0,143;2,839;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;4,438;3,061;5,943;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
"htag_rtssportxarchives";-0,189;-0,242;2,544;-0,215;-0,361;-0,408;-0,171;-0,189;1,386;-0,233;1,683;-0,26;-0,342;-0,206;-0,418;21,183;-0,296;1,454;-0,306;-0,418;-0,389;-0,26
"70";-0,316;-0,406;-0,421;-0,361;-0,605;-0,684;-0,286;-0,316;0,364;-0,391;0,508;-0,436;-0,574;-0,346;0,211;1,996;-0,497;-0,589;-0,512;0,211;0,279;33,035
