"";"";"";"";"18h45";""
"115";"affronter";"0.415220954414027";"-0.815031383772439";"0.902902687571533";"249"
"116";"km";"0.314572913466026";"-0.24379427790941";"0.902902687571533";"250"
"117";"boguet";"0.493169526210913";"-0.479803857834308";"0.902902687571533";"253"
"118";"question";"0.38298445175617";"0.540657930168481";"0.901574606501591";"254"
"119";"enfant";"0.642010469236156";"0.753979642403101";"0.901008318126591";"255"
"120";"rappeler";"0.584894248283486";"0.531764723700618";"0.899943156659328";"264"
"121";"représenter";"0.707354361241404";"-0.0200824321229425";"0.899127431738196";"265"
"122";"htag_mobilité";"0.530250778900228";"-0.0733561329802443";"0.899127431738196";"266"
"123";"remplir";"0.644747574367791";"-0.306965488089457";"0.899127431738196";"268"
"124";"spécialiste";"-0.326495149417933";"0.231197108726771";"0.898530806485963";"273"
"125";"famille";"0.326759105337448";"0.590439413119049";"0.897529689537301";"275"
"126";"décennie";"0.00311972131873388";"0.66150444270674";"0.896629695512747";"276"
"127";"connaître";"-0.0895323842196877";"0.241250515647175";"0.895810599827478";"277"
"128";"réaction";"-0.727661698021098";"-0.130242041289654";"0.895682510790276";"278"
"129";"heure";"0.505782333046783";"0.103582153128071";"0.893821848986702";"280"
"130";"quotidien";"-0.10683570594435";"0.529995491622571";"0.893400503469589";"281"
"131";"porter";"0.375246399256688";"0.813736298817539";"0.892975787188338";"282"
"132";"courage";"0.636540579465587";"1.29387362406514";"0.892706126057386";"283"
"133";"cadeau";"-0.175460492186608";"0.859379208957404";"0.892706126057386";"284"
"134";"fromage";"-0.191089406843219";"0.984386309261401";"0.892706126057386";"285"
"135";"penser";"0.417222982185923";"0.0274434635881904";"0.891152203790271";"287"
"136";"journaliste";"-0.391349851139988";"0.335496213928492";"0.888334244971816";"289"
"137";"région";"-0.792524482083925";"0.0105834593388164";"0.887242117391458";"290"
"138";"proposer";"0.117130467124556";"0.201530028721451";"0.887033130014969";"291"
"139";"mordre";"0.59086966670981";"0.870914614526877";"0.886736502770921";"292"
"140";"pied";"0.474452185662661";"0.82362677084704";"0.886736502770921";"294"
"141";"couple";"0.458164351099488";"0.935535397097618";"0.886480324696516";"296"
"142";"papille";"0.594257902814142";"1.47604894260497";"0.886251112735207";"297"
"143";"mouton";"0.774907465250318";"1.35259089591275";"0.886251112735207";"298"
"144";"maîtresse";"0.839991281399254";"1.44887778125061";"0.886251112735207";"299"
"145";"jambon";"0.663955123297686";"1.37434030371401";"0.886251112735207";"300"
"146";"alpe";"0.717428899705768";"0.831042794609095";"0.886251112735207";"303"
"147";"travailler";"0.452404998489159";"0.647219676824921";"0.885769093463629";"305"
"148";"message";"0.189888566038265";"0.501405931143949";"0.88559381372851";"306"
"149";"manquer";"0.565652651136193";"0.756084243938658";"0.885401680172706";"307"
"150";"casser";"0.737630469098252";"0.59674380973585";"0.883490456907079";"308"
"151";"venir";"0.494250059396592";"0.398041596997214";"0.882789337966602";"310"
"152";"ami";"0.667112471930356";"0.526503646740172";"0.881397212378059";"311"
"153";"preuve";"0.768589436587062";"1.11909171694922";"0.881205078822255";"312"
"154";"lancer";"0.11052211841077";"0.382524846563647";"0.880176995760498";"313"
"155";"voir";"0.513148051178949";"-0.178452100811326";"0.880035423666748";"314"
"156";"mari";"0.483127471706027";"0.58734692971984";"0.879941042270915";"315"
"157";"vote";"0.445492549040207";"0.664505214668021";"0.879941042270915";"316"
"158";"rester";"0.328743947417101";"-0.0478153698679356";"0.879388236952461";"317"
"159";"boîte";"0.612913403169623";"0.537414138299082";"0.879152283462878";"319"
"160";"célèbre";"0.539492743236398";"0.283410295408639";"0.879152283462878";"320"
"161";"sexualité";"-0.609197323364662";"0.195591891643261";"0.879152283462878";"321"
"162";"presser";"0.467532149420485";"-0.407504223463657";"0.878420827645169";"323"
"163";"horizon";"0.56139676560732";"-0.370635368105136";"0.878420827645169";"325"
"164";"servir";"0.485087804150377";"0.577071376536495";"0.878353412362431";"327"
"165";"tendance";"0.396018752906099";"0.826773198138859";"0.876681513350524";"337"
"166";"bois";"0.611718043192762";"1.15140422665128";"0.876624210360197";"338"
"167";"bain";"0.593947194988483";"0.848283294253861";"0.876624210360197";"339"
"168";"préparer";"0.717032348300667";"1.1397594432137";"0.876624210360197";"340"
"169";"année";"-0.150803235437255";"0.259426973471309";"0.87541073527091";"342"
"170";"place";"0.0895087806136372";"-0.194665751440863";"0.874955682112427";"343"
"171";"genève";"0.203532612055839";"-0.711679374249725";"0.874460179784302";"344"
"172";"fond";"-0.0843692936700692";"0.852566028822835";"0.874123103370611";"345"
"173";"htag_noël";"0.728732774334368";"0.345199678351788";"0.873870296060343";"347"
"174";"déplacer";"0.728732774334368";"0.345199678351788";"0.873870296060343";"348"
"175";"simplicité";"0.570606167841818";"0.394888682911166";"0.873870296060343";"349"
"176";"grain";"0.604132929960072";"-0.104970825654278";"0.873647825627307";"351"
"177";"babibouchettes";"-0.846815061459063";"-0.407527095123821";"0.871766939238912";"354"
"178";"recueillir";"-0.674184624374567";"0.194421845989854";"0.871766939238912";"355"
"179";"provoquer";"-0.771026037380623";"-0.321107910251395";"0.871766939238912";"357"
"180";"fasciner";"-0.771026037380623";"-0.321107910251395";"0.871766939238912";"358"
"181";"concours";"-0.695711088813191";"0.415509994066946";"0.871766939238912";"359"
"182";"poursuivre";"-0.750707305656778";"0.052754966071324";"0.871766939238912";"361"
"183";"objectif";"-0.656191647397552";"0.198697441252982";"0.871766939238912";"362"
"184";"chose";"0.237615326510425";"0.577264508351847";"0.871716377776859";"363"
"185";"paraître";"0.4256915837268";"0.119883420292537";"0.870816383752304";"364"
"186";"accueillir";"0.516387476683932";"-0.68143109508184";"0.870816383752304";"365"
"187";"fils";"-2.19062103535558";"0.0632507621307898";"0.870816383752304";"367"
"188";"réaliser";"-2.20331519990864";"0.0440962331739692";"0.870816383752304";"369"
"189";"changement";"0.823781578273703";"0.102289976788166";"0.870300656839357";"370"
"190";"sortie";"0.380620349417209";"0.096908560860876";"0.869993917302898";"371"
"191";"marque";"0.712656912807458";"0.828165749819378";"0.869764705341589";"372"
"192";"lunette";"0.723933604912343";"0.957703379502255";"0.869764705341589";"373"
"193";"patiner";"0.530971894073368";"0.857626530023227";"0.869764705341589";"374"
"194";"pêcheur";"0.408409512379882";"0.23979154338171";"0.869764705341589";"375"
"195";"gagner";"0.371861288709206";"0.808628424429053";"0.869764705341589";"376"
"196";"réflexion";"-1.40032162635817";"0.323991874135819";"0.869764705341589";"377"
"197";"sentiment";"-0.247642523252167";"0.451486710469939";"0.869764705341589";"378"
"198";"oreille";"-0.247642523252167";"0.451486710469939";"0.869764705341589";"379"
"199";"boucle";"0.454449212791156";"0.715959650104696";"0.869764705341589";"380"
"200";"coin";"-0.332240908988724";"0.576107143474298";"0.867014161805872";"384"
"201";"nombreux";"0.21561395538383";"0.069162563390133";"0.866444502666734";"385"
