"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"organisation";0,548;0;0,061;1;1;0,25;1;1;1;1;1;0,948;1;1;1;0,519;1
"niveau";1;0,423;1;0,118;1;0,461;1;1;0,461;1;0,659;1;1;1;0,105;0,046;1
"communiqué";1;1;1;1;1;0,815;0,326;0,354;1;1;1;1;1;0;0,851;0,008;1
"publier";0,068;0,041;1;1;1;0,848;1;1;0,848;0,045;1;1;1;0,064;0,884;0,06;1
"importance";1;0;1;1;1;0;1;1;0;0,796;1;1;1;1;1;1;1
"complet";1;1;0,798;0,098;0,002;1;1;0,48;1;1;1;1;1;1;1;0,037;1
"bott";0,977;1;1;1;0;1;0,221;0,644;1;1;1;1;1;1;0;1;1
"utiliser";1;0,408;1;1;1;0,008;1;1;0,001;0,704;1;1;0,038;0,272;1;1;1
"train";1;1;0,845;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"renforcer";1;1;0,673;1;0,032;1;0,008;0,852;1;1;1;1;1;1;0,817;0,191;0,201
"proposer";1;0,276;1;0,276;0,714;0,205;1;1;0,679;1;1;0,012;1;1;0,712;0,993;1
"local";1;1;0,633;0,105;0,116;0,048;1;1;1;1;1;0,111;0,139;1;1;1;0,64
"habitant";1;0,276;0,189;0,002;1;1;1;1;1;1;0,905;0,083;0,002;1;1;1;1
"venir";1;1;1;0,94;0,969;0,88;0,015;1;1;1;0,007;0,039;1;0,32;0,916;1;0,006
"seulement";1;0,028;1;1;1;0,274;1;1;0,782;0,672;0;1;1;0,047;1;1;1
"seul";1;0,226;1;0,553;1;0,402;0,979;1;0,942;1;0,636;1;1;1;0,435;0,092;1
"réduire";1;0,203;1;0,979;0,065;0,911;0;0,983;0,097;0,284;1;1;1;1;0,948;1;0,796
"zurich";1;1;1;0,118;1;1;0;1;1;1;0,659;1;1;1;0,49;0,005;1
"zone";1;1;0,006;0,276;1;0,205;0,712;0,746;1;1;1;1;0;1;1;0,447;1
"voix";1;1;1;0,338;0,013;1;1;0,007;1;0,311;1;1;1;0,362;0,414;1;1
"revenir";1;0,19;1;1;1;1;0,16;0,027;1;0,475;0;1;1;1;1;1;1
"retour";1;1;0,089;1;1;1;0,001;1;1;1;1;1;1;0,095;1;1;0,409
"membre";1;1;0,001;1;1;0,714;1;0,056;1;1;1;1;0,002;0,679;1;0,483;1
"etats";0,042;1;0,798;0,919;0,942;1;1;1;1;1;1;1;1;1;0,452;0,215;0
"armée";1;1;0;1;1;1;1;0,596;1;1;1;1;0,267;1;1;1;1
"site";1;0,979;1;0,203;0,22;0,375;1;1;0,375;0,284;1;1;1;0,083;0,948;0,286;1
"juger";0,002;1;1;0,058;1;1;1;0,127;0,375;1;1;1;1;1;0,111;1;0,06
"entreprise";1;1;1;0,003;0,152;1;1;1;1;1;1;1;1;1;0,528;0,006;0,409
"emji_caméra";1;1;0,189;1;1;1;1;1;1;1;0;1;0,935;1;1;1;1
"directeur";1;0;0,713;0,859;0,153;0,298;1;1;0,815;1;1;1;1;1;1;0,008;1
"attaque";1;1;0;1;0,891;1;1;0,441;1;1;1;1;0,001;1;1;1;1
"titre";0,674;1;1;1;1;1;1;1;1;1;0;0,546;1;0;1;0,649;1
"petit";0,232;1;1;1;1;0;1;1;0,065;0,221;0,16;0,027;1;0,779;1;1;1
"participer";1;1;0,514;1;1;1;0,676;0,04;1;0,542;0,866;1;0,896;0,61;1;0;1
"lier";0,144;0;1;1;1;1;0,712;1;0,679;1;1;1;1;1;0,226;0,131;1
"frapper";1;1;0;1;1;1;1;1;1;1;1;0,246;0,28;1;1;1;1
"famille";0,165;0,308;1;1;0,758;1;1;1;1;1;1;0,911;1;0,679;0,005;0,029;0,607
"soir";0,857;1;0,017;1;1;1;0,001;0;1;1;0,745;1;1;1;1;1;1
"poste";1;1;0,285;0,015;0,942;1;1;0,1;1;1;0,616;1;1;1;1;0,037;0,343
"michael";1;0,012;1;0,979;1;1;0,111;0,983;0,911;1;1;1;1;1;0;0,701;1
"image";0,9;1;0,98;1;1;1;1;1;0,571;1;0,007;0,256;0,008;1;1;1;1
"critique";1;0,374;0,673;1;0,845;0,782;1;0;1;1;1;1;0,497;0,746;1;1;1
"course";1;1;1;0,025;1;1;1;1;0,576;1;0;1;0,745;0,553;1;0,784;1
"conseiller";0,941;1;1;1;1;0,607;0,64;0;0,163;1;1;1;1;1;0,64;0,097;1
"confirmer";0,982;1;0,514;1;1;1;1;0,709;1;1;1;0,314;0,091;1;1;0,113;1
"affirmer";0,144;1;0;1;1;1;1;0,249;1;1;1;1;1;0,028;1;1;1
"élevé";1;0,052;1;1;1;1;1;1;0,023;1;0,826;0,796;1;1;0;0,377;1
"remporter";1;1;1;1;1;1;1;1;1;1;0;0;1;0,011;1;1;0,768
"présenter";1;1;1;1;0,026;1;0,275;1;1;0,027;0,979;1;1;0,712;0,275;1;1
"minute";1;0,466;1;0,466;1;1;1;1;1;1;0;1;1;0,095;1;1;0,072
"condition";1;1;0,166;1;0,012;1;0,676;0,004;0,028;1;1;1;1;1;0,203;1;1
"commun";0,813;1;1;0,003;1;0,498;1;1;1;1;1;1;1;1;0,014;0,057;1
"annonce";1;1;0;0,052;0,624;1;1;0,033;1;1;1;1;1;0,575;0,027;1;1
"affaire";0;1;0,266;1;1;1;1;0,327;1;1;1;1;0,497;1;1;1;1
"rencontre";1;0,064;1;1;1;1;1;1;1;1;0,014;1;1;0,327;1;1;0
"mètre";1;1;1;1;0,043;0,981;0,303;1;1;1;0,007;0,074;0,46;1;1;0,506;1
"manifestation";0,578;1;1;1;1;1;1;0;1;1;1;0,091;0,001;0,995;1;1;1
"laurent";1;1;1;1;1;0,402;1;0,141;0,402;1;1;1;1;1;0;0,092;1
"journée";0,674;1;0,749;0,868;1;0,388;1;0,007;1;1;0,144;1;1;1;1;0,186;1
"israël";1;1;0;1;1;1;1;0,084;1;1;1;1;1;1;1;1;1
"haut";0,008;1;0,892;0,14;1;0,498;1;1;1;1;1;0,674;1;1;1;0,057;1
"guerre";1;1;0;1;1;1;1;1;1;1;1;0,458;0,506;1;1;1;0,94
"donner";1;1;1;0,817;0,845;0,782;1;0,327;1;1;0,003;1;1;0,249;0,817;1;0,201
"compte";1;0,19;1;0,042;1;0,144;1;0,178;1;1;1;1;0,815;0,539;1;0,342;1
"augmenter";1;0;1;0,014;1;0,679;0,04;1;0,679;0,575;1;1;1;1;0,226;0,993;1
"ajouter";1;1;1;0,643;1;0,643;0,676;0,709;1;1;1;0,071;0,362;0,61;0,203;0,113;1
"âge";0,232;0,001;1;1;1;1;1;0,886;1;0,704;0,032;1;1;0,055;0,851;0,592;0,704
"professionnel";0,585;0,374;1;1;0,845;1;1;0,852;0;1;1;0,127;1;1;0,3;0,556;1
"poursuivre";0,186;1;1;1;1;1;0,056;0,066;1;1;0,435;1;1;0,712;1;0,005;1
"meilleur";1;0,298;1;0,816;0,071;1;1;1;1;1;0,001;1;1;0,327;1;1;0,978
"impact";1;0,018;1;0,59;1;1;1;1;0,429;0,01;1;1;1;0,105;0,139;1;1
"proche";0,033;1;0,25;0,338;1;1;1;1;1;1;0,572;0,546;1;1;1;1;0,311
"objectif";1;1;1;0,001;0,506;0,085;0,916;1;0,085;1;1;1;1;1;1;0,012;0,766
"marché";1;0,687;1;1;0,016;1;0,712;1;1;1;0,905;0,083;1;1;0,712;0,024;1
"espèce";1;1;1;1;1;0;1;1;0,981;0,219;1;1;1;1;0,303;1;1
